column,problem,answer
B,18 − 5,13
I,7 + 8,15
N,13 + 3,16
G,3 + 16,19
O,11 + 9,20
B,7 − 4,3
I,17 + 2,19
N,16 − 15,1
G,13 + 2,15
O,14 + 6,20
B,10 − 3,7
I,5 + 9,14
N,11 + 6,17
G,14 + 2,16
O,13 + 4,17
B,10 − 4,6
I,20 − 17,3
N,10 + 7,17
G,9 − 4,5
O,14 − 12,2
B,10 + 2,12
I,7 + 9,16
N,10 + 3,13
G,16 + 3,19
O,6 − 3,3
B,14 − 11,3
I,4 + 15,19
N,17 − 11,6
G,4 + 11,15
O,11 − 9,2
B,15 + 3,18
I,8 + 6,14
N,11 + 4,15
G,20 − 9,11
O,20 − 2,18
B,8 − 4,4
I,10 + 8,18
N,6 − 4,2
G,2 + 3,5
O,9 − 2,7
B,9 + 3,12
I,13 − 6,7
N,12 + 7,19
G,10 + 4,14
O,16 − 8,8
B,15 − 13,2
I,20 − 15,5
N,18 − 16,2
G,10 + 6,16
O,7 + 6,13
B,11 − 7,4
I,7 + 5,12
N,7 + 13,20
G,9 − 8,1
O,9 − 6,3
B,19 − 13,6
I,12 − 7,5
N,7 − 5,2
G,4 + 12,16
O,15 − 8,7
