column,problem,answer
B,Double 6,12
I,Double 13,26
N,Double 74,148
G,Double 33,66
O,Double 61,122
B,Double 41,82
I,Double 42,84
N,Double 25,50
G,Double 60,120
O,Double 37,74
B,Double 38,76
I,Double 58,116
N,Double 31,62
G,Double 36,72
O,Double 64,128
B,Double 23,46
I,Double 16,32
N,Double 66,132
G,Double 28,56
O,Double 19,38
B,Double 39,78
I,Double 62,124
N,Double 17,34
G,Double 18,36
O,Double 71,142
B,Double 65,130
I,Double 49,98
N,Double 34,68
G,Double 40,80
O,Double 21,42
B,Double 55,110
I,Double 29,58
N,Double 8,16
G,Double 35,70
O,Double 69,138
B,Double 30,60
I,Double 70,140
N,Double 20,40
G,Double 22,44
O,Double 63,126
B,Double 26,52
I,Double 43,86
N,Double 47,94
G,Double 57,114
O,Double 50,100
B,Double 56,112
I,Double 48,96
N,Double 12,24
G,Double 54,108
O,Double 51,102
B,Double 44,88
I,Double 45,90
N,Double 11,22
G,Double 73,146
O,Double 24,48
B,Double 10,20
I,Double 53,106
N,Double 7,14
G,Double 15,30
O,Double 14,28
B,Double 27,54
I,Double 67,134
N,Double 46,92
G,Double 32,64
O,Double 72,144
B,Double 9,18
I,Double 68,136
N,Double 75,150
G,Double 59,118
O,Double 52,104
