column,problem,answer
B,Which is greater: \frac{8}{9} or \frac{1}{2}?,\frac{8}{9}
I,Which is greater: \frac{2}{3} or \frac{8}{11}?,\frac{8}{11}
N,Which is greater: \frac{1}{12} or \frac{2}{11}?,\frac{2}{11}
G,Which is greater: \frac{1}{5} or \frac{3}{7}?,\frac{3}{7}
O,Which is greater: \frac{1}{6} or \frac{1}{8}?,\frac{1}{6}
B,Which is greater: \frac{3}{4} or \frac{2}{5}?,\frac{3}{4}
I,Which is greater: \frac{2}{3} or \frac{5}{9}?,\frac{2}{3}
N,Which is greater: \frac{6}{7} or \frac{7}{9}?,\frac{6}{7}
G,Which is greater: \frac{5}{6} or \frac{1}{6}?,\frac{5}{6}
O,Which is greater: \frac{1}{5} or \frac{4}{10}?,\frac{4}{10}
B,Which is greater: \frac{3}{10} or \frac{1}{6}?,\frac{3}{10}
I,Which is greater: \frac{1}{2} or \frac{3}{12}?,\frac{1}{2}
N,Which is greater: \frac{6}{7} or \frac{9}{12}?,\frac{6}{7}
G,Which is greater: \frac{1}{6} or \frac{4}{9}?,\frac{4}{9}
O,Which is greater: \frac{1}{10} or \frac{2}{4}?,\frac{2}{4}
B,Which is greater: \frac{2}{3} or \frac{1}{2}?,\frac{2}{3}
I,Which is greater: \frac{1}{3} or \frac{6}{11}?,\frac{6}{11}
N,Which is greater: \frac{1}{3} or \frac{1}{2}?,\frac{1}{2}
G,Which is greater: \frac{7}{12} or \frac{2}{3}?,\frac{2}{3}
O,Which is greater: \frac{1}{11} or \frac{2}{5}?,\frac{2}{5}
B,Which is greater: \frac{3}{6} or \frac{10}{12}?,\frac{10}{12}
I,Which is greater: \frac{6}{7} or \frac{5}{7}?,\frac{6}{7}
N,Which is greater: \frac{6}{7} or \frac{7}{11}?,\frac{6}{7}
G,Which is greater: \frac{8}{12} or \frac{4}{5}?,\frac{4}{5}
O,Which is greater: \frac{4}{9} or \frac{1}{3}?,\frac{4}{9}
B,Which is greater: \frac{1}{2} or \frac{5}{9}?,\frac{5}{9}
I,Which is greater: \frac{5}{12} or \frac{2}{3}?,\frac{2}{3}
N,Which is greater: \frac{1}{3} or \frac{4}{7}?,\frac{4}{7}
G,Which is greater: \frac{1}{3} or \frac{2}{5}?,\frac{2}{5}
O,Which is greater: \frac{9}{10} or \frac{8}{11}?,\frac{9}{10}
B,Which is greater: \frac{3}{8} or \frac{2}{6}?,\frac{3}{8}
I,Which is greater: \frac{1}{3} or \frac{3}{10}?,\frac{1}{3}
N,Which is greater: \frac{4}{10} or \frac{2}{6}?,\frac{4}{10}
G,Which is greater: \frac{1}{6} or \frac{1}{2}?,\frac{1}{2}
O,Which is greater: \frac{2}{8} or \frac{6}{9}?,\frac{6}{9}
B,Which is greater: \frac{5}{7} or \frac{4}{5}?,\frac{4}{5}
I,Which is greater: \frac{1}{2} or \frac{2}{5}?,\frac{1}{2}
N,Which is greater: \frac{1}{4} or \frac{6}{10}?,\frac{6}{10}
G,Which is greater: \frac{3}{12} or \frac{1}{5}?,\frac{3}{12}
O,Which is greater: \frac{1}{4} or \frac{9}{11}?,\frac{9}{11}
B,Which is greater: \frac{2}{8} or \frac{1}{3}?,\frac{1}{3}
I,Which is greater: \frac{1}{2} or \frac{1}{12}?,\frac{1}{2}
N,Which is greater: \frac{5}{11} or \frac{3}{8}?,\frac{5}{11}
G,Which is greater: \frac{2}{3} or \frac{6}{12}?,\frac{2}{3}
O,Which is greater: \frac{7}{8} or \frac{7}{12}?,\frac{7}{8}
B,Which is greater: \frac{3}{5} or \frac{3}{4}?,\frac{3}{4}
I,Which is greater: \frac{2}{6} or \frac{4}{5}?,\frac{4}{5}
N,Which is greater: \frac{5}{11} or \frac{6}{7}?,\frac{6}{7}
G,Which is greater: \frac{3}{10} or \frac{3}{5}?,\frac{3}{5}
O,Which is greater: \frac{7}{11} or \frac{1}{3}?,\frac{7}{11}
