column,problem,answer
B,Simplify \frac{6}{30},\frac{1}{5}
I,Simplify \frac{18}{66},\frac{3}{11}
N,Simplify \frac{44}{48},\frac{11}{12}
G,Simplify \frac{66}{72},\frac{11}{12}
O,Simplify \frac{16}{20},\frac{4}{5}
B,Simplify \frac{6}{36},\frac{1}{6}
I,Simplify \frac{20}{45},\frac{4}{9}
N,Simplify \frac{8}{12},\frac{2}{3}
G,Simplify \frac{6}{9},\frac{2}{3}
O,Simplify \frac{5}{20},\frac{1}{4}
B,Simplify \frac{6}{14},\frac{3}{7}
I,Simplify \frac{30}{66},\frac{5}{11}
N,Simplify \frac{8}{36},\frac{2}{9}
G,Simplify \frac{3}{9},\frac{1}{3}
O,Simplify \frac{12}{44},\frac{3}{11}
B,Simplify \frac{20}{44},\frac{5}{11}
I,Simplify \frac{4}{8},\frac{1}{2}
N,Simplify \frac{3}{36},\frac{1}{12}
G,Simplify \frac{14}{16},\frac{7}{8}
O,Simplify \frac{15}{55},\frac{3}{11}
B,Simplify \frac{30}{33},\frac{10}{11}
I,Simplify \frac{2}{16},\frac{1}{8}
N,Simplify \frac{6}{16},\frac{3}{8}
G,Simplify \frac{12}{21},\frac{4}{7}
O,Simplify \frac{9}{30},\frac{3}{10}
B,Simplify \frac{27}{33},\frac{9}{11}
I,Simplify \frac{6}{15},\frac{2}{5}
N,Simplify \frac{18}{42},\frac{3}{7}
G,Simplify \frac{24}{28},\frac{6}{7}
O,Simplify \frac{6}{20},\frac{3}{10}
B,Simplify \frac{54}{60},\frac{9}{10}
I,Simplify \frac{12}{30},\frac{2}{5}
N,Simplify \frac{3}{21},\frac{1}{7}
G,Simplify \frac{18}{21},\frac{6}{7}
O,Simplify \frac{2}{12},\frac{1}{6}
B,Simplify \frac{10}{14},\frac{5}{7}
I,Simplify \frac{36}{44},\frac{9}{11}
N,Simplify \frac{42}{60},\frac{7}{10}
G,Simplify \frac{5}{10},\frac{1}{2}
O,Simplify \frac{12}{18},\frac{2}{3}
B,Simplify \frac{5}{15},\frac{1}{3}
I,Simplify \frac{6}{24},\frac{1}{4}
N,Simplify \frac{4}{32},\frac{1}{8}
G,Simplify \frac{15}{25},\frac{3}{5}
O,Simplify \frac{9}{12},\frac{3}{4}
B,Simplify \frac{6}{8},\frac{3}{4}
I,Simplify \frac{3}{6},\frac{1}{2}
N,Simplify \frac{4}{16},\frac{1}{4}
G,Simplify \frac{18}{30},\frac{3}{5}
O,Simplify \frac{24}{27},\frac{8}{9}
