column,problem,answer
B,Half of 110,55
I,Half of 148,74
N,Half of 142,71
G,Half of 146,73
O,Half of 88,44
B,Half of 30,15
I,Half of 68,34
N,Half of 120,60
G,Half of 46,23
O,Half of 98,49
B,Half of 130,65
I,Half of 136,68
N,Half of 122,61
G,Half of 12,6
O,Half of 52,26
B,Half of 26,13
I,Half of 86,43
N,Half of 116,58
G,Half of 56,28
O,Half of 78,39
B,Half of 74,37
I,Half of 34,17
N,Half of 108,54
G,Half of 80,40
O,Half of 36,18
B,Half of 10,5
I,Half of 62,31
N,Half of 96,48
G,Half of 118,59
O,Half of 48,24
B,Half of 90,45
I,Half of 16,8
N,Half of 104,52
G,Half of 112,56
O,Half of 64,32
B,Half of 22,11
I,Half of 92,46
N,Half of 102,51
G,Half of 50,25
O,Half of 138,69
B,Half of 40,20
I,Half of 140,70
N,Half of 124,62
G,Half of 150,75
O,Half of 106,53
B,Half of 132,66
I,Half of 128,64
N,Half of 72,36
G,Half of 126,63
O,Half of 94,47
B,Half of 38,19
I,Half of 82,41
N,Half of 42,21
G,Half of 84,42
O,Half of 54,27
B,Half of 58,29
I,Half of 24,12
N,Half of 134,67
G,Half of 70,35
O,Half of 114,57
B,Half of 44,22
I,Half of 100,50
N,Half of 20,10
G,Half of 144,72
O,Half of 14,7
B,Half of 32,16
I,Half of 18,9
N,Half of 60,30
G,Half of 66,33
O,Half of 76,38
B,Half of 28,14
