column,problem,answer
B,6 × 6,36
I,7 × 11,77
N,3 × 5,15
G,6 × 12,72
O,2 × 5,10
B,7 × 10,70
I,7 × 12,84
N,8 × 10,80
G,3 × 12,36
O,4 × 5,20
B,5 × 9,45
I,3 × 8,24
N,2 × 4,8
G,5 × 6,30
O,5 × 12,60
B,4 × 9,36
I,6 × 7,42
N,4 × 11,44
G,2 × 12,24
O,2 × 9,18
B,9 × 9,81
I,4 × 8,32
N,8 × 9,72
G,5 × 7,35
O,5 × 8,40
B,8 × 11,88
I,3 × 9,27
N,12 × 12,144
G,8 × 8,64
O,3 × 3,9
B,2 × 7,14
I,4 × 10,40
N,8 × 12,96
G,10 × 12,120
O,9 × 12,108
B,7 × 9,63
I,2 × 3,6
N,3 × 4,12
G,4 × 4,16
O,6 × 11,66
B,10 × 11,110
I,10 × 10,100
N,5 × 10,50
G,2 × 8,16
O,5 × 11,55
B,5 × 5,25
I,6 × 9,54
N,11 × 12,132
G,11 × 11,121
O,3 × 10,30
B,2 × 2,4
I,4 × 6,24
N,3 × 11,33
G,2 × 10,20
O,3 × 6,18
B,4 × 12,48
I,9 × 10,90
N,6 × 8,48
G,3 × 7,21
O,2 × 11,22
B,4 × 7,28
I,9 × 11,99
N,2 × 6,12
G,7 × 7,49
O,6 × 10,60
B,7 × 8,56
