column,problem,answer
B,75% of 300,225
I,25% of 200,50
N,20% of 20,4
G,50% of 100,50
O,50% of 240,120
B,75% of 80,60
I,20% of 140,28
N,10% of 60,6
G,25% of 160,40
O,25% of 60,15
B,50% of 120,60
I,20% of 300,60
N,50% of 140,70
G,75% of 44,33
O,20% of 150,30
B,25% of 44,11
I,20% of 240,48
N,20% of 50,10
G,25% of 240,60
O,10% of 300,30
B,20% of 60,12
I,50% of 300,150
N,50% of 80,40
G,75% of 20,15
O,50% of 64,32
B,10% of 150,15
I,20% of 40,8
N,50% of 200,100
G,20% of 100,20
O,20% of 90,18
B,75% of 100,75
I,75% of 40,30
N,25% of 40,10
G,10% of 30,3
O,10% of 80,8
B,10% of 140,14
I,25% of 64,16
N,10% of 400,40
G,25% of 140,35
O,75% of 400,300
B,75% of 140,105
I,25% of 300,75
N,50% of 44,22
G,50% of 50,25
O,10% of 240,24
B,20% of 400,80
I,10% of 40,4
N,75% of 240,180
G,75% of 64,48
O,25% of 80,20
