column,problem,answer
B,6 - 4,2
B,12 - 9,3
B,3 + 1,4
B,14 - 9,5
B,7 - 1,6
B,15 - 8,7
B,16 - 8,8
B,10 - 1,9
B,3 + 7,10
I,1 + 3,4
I,9 - 4,5
I,2 + 4,6
I,15 - 8,7
I,12 - 4,8
I,17 - 8,9
I,18 - 8,10
I,3 + 8,11
I,18 - 6,12
N,2 + 4,6
N,12 - 5,7
N,9 - 1,8
N,16 - 7,9
N,18 - 8,10
N,7 + 4,11
N,4 + 8,12
N,9 + 4,13
N,20 - 6,14
G,11 - 2,9
G,3 + 7,10
G,5 + 6,11
G,18 - 6,12
G,5 + 8,13
G,15 - 1,14
G,19 - 4,15
G,9 + 7,16
G,9 + 8,17
O,8 + 2,10
O,3 + 8,11
O,4 + 8,12
O,16 - 3,13
O,15 - 1,14
O,9 + 6,15
O,20 - 4,16
O,9 + 8,17
O,19 - 1,18
