column,problem,answer
B,20 + 1,21
B,2 + 20,22
B,20 + 3,23
B,4 + 20,24
B,12 + 13,25
B,22 + 4,26
B,24 + 3,27
B,17 + 11,28
B,16 + 13,29
B,20 + 10,30
B,30 + 1,31
B,22 + 10,32
B,13 + 20,33
B,21 + 13,34
B,23 + 12,35
I,11 + 25,36
I,17 + 20,37
I,35 + 3,38
I,3 + 36,39
I,30 + 10,40
I,10 + 31,41
I,31 + 11,42
I,40 + 3,43
I,40 + 4,44
I,11 + 34,45
I,42 + 4,46
I,5 + 42,47
I,25 + 23,48
I,16 + 33,49
I,10 + 40,50
N,11 + 40,51
N,31 + 21,52
N,51 + 2,53
N,20 + 34,54
N,11 + 44,55
N,36 + 20,56
N,4 + 53,57
N,50 + 8,58
N,7 + 52,59
N,10 + 50,60
N,60 + 1,61
N,61 + 1,62
N,52 + 11,63
N,50 + 14,64
N,52 + 13,65
G,49 + 17,66
G,39 + 28,67
G,49 + 19,68
G,15 + 54,69
G,44 + 26,70
G,14 + 57,71
G,33 + 39,72
G,19 + 54,73
G,65 + 9,74
G,56 + 19,75
G,67 + 9,76
G,68 + 9,77
G,9 + 69,78
G,37 + 42,79
G,7 + 73,80
O,13 + 68,81
O,54 + 28,82
O,69 + 14,83
O,77 + 7,84
O,19 + 66,85
O,9 + 77,86
O,58 + 29,87
O,39 + 49,88
O,21 + 68,89
O,54 + 36,90
O,84 + 7,91
O,7 + 85,92
O,27 + 66,93
O,75 + 19,94
O,76 + 19,95
