column,problem,answer
B,1 penny + 1 nickel,6
B,2 pennies + 1 nickel,7
B,4 pennies + 1 nickel,9
B,5 pennies + 1 nickel,10
B,1 penny + 2 nickels,11
B,3 pennies + 2 nickels,13
B,4 pennies + 2 nickels,14
B,5 pennies + 1 dime,15
B,2 pennies + 3 nickels,17
B,3 pennies + 3 nickels,18
B,4 pennies + 3 nickels,19
B,1 penny + 4 nickels,21
B,2 pennies + 2 dimes,22
B,3 pennies + 2 dimes,23
B,5 pennies + 4 nickels,25
I,6 pennies + 4 nickels,26
I,2 pennies + 5 nickels,27
I,4 pennies + 5 nickels,29
I,4 nickels + 1 dime,30
I,6 pennies + 1 quarter,31
I,2 pennies + 3 dimes,32
I,4 pennies + 3 dimes,34
I,1 nickel + 3 dimes,35
I,6 pennies + 3 dimes,36
I,1 penny + 4 dimes,41
I,2 pennies + 4 dimes,42
I,3 pennies + 4 dimes,43
I,2 dimes + 1 quarter,45
I,6 pennies + 4 dimes,46
I,4 nickels + 3 dimes,50
N,2 pennies + 5 dimes,52
N,3 pennies + 5 dimes,53
N,4 pennies + 5 dimes,54
N,6 pennies + 5 dimes,56
N,2 nickels + 2 quarters,60
N,1 penny + 6 dimes,61
N,3 pennies + 6 dimes,63
N,4 pennies + 6 dimes,64
N,3 nickels + 2 quarters,65
N,4 nickels + 5 dimes,70
N,5 nickels + 2 quarters,75
N,1 penny + 3 quarters,76
N,3 pennies + 3 quarters,78
N,4 pennies + 3 quarters,79
N,5 pennies + 3 quarters,80
G,1 dime + 3 quarters,85
G,4 dimes + 2 quarters,90
G,4 nickels + 3 quarters,95
G,1 penny + 4 quarters,101
G,2 pennies + 4 quarters,102
G,3 pennies + 4 quarters,103
G,3 dimes + 3 quarters,105
G,6 pennies + 4 quarters,106
G,2 nickels + 4 quarters,110
G,2 dimes + 4 quarters,120
G,5 nickels + 4 quarters,125
G,1 penny + 5 quarters,126
G,2 pennies + 5 quarters,127
G,4 pennies + 5 quarters,129
G,3 dimes + 4 quarters,130
O,6 pennies + 5 quarters,131
O,4 dimes + 4 quarters,140
O,4 nickels + 5 quarters,145
O,5 dimes + 4 quarters,150
O,2 pennies + 6 quarters,152
O,3 pennies + 6 quarters,153
O,4 pennies + 6 quarters,154
O,6 pennies + 6 quarters,156
O,6 dimes + 4 quarters,160
O,3 nickels + 6 quarters,165
O,5 nickels + 6 quarters,175
O,3 dimes + 6 quarters,180
O,6 dimes + 5 quarters,185
O,5 dimes + 6 quarters,200
O,6 dimes + 6 quarters,210
