column,problem,answer
B,608 - 397,211
B,550 - 338,212
B,551 - 338,213
B,522 - 308,214
B,963 - 748,215
B,405 - 189,216
B,770 - 553,217
B,826 - 608,218
B,793 - 574,219
B,603 - 383,220
B,708 - 487,221
B,240 - 18,222
B,416 - 193,223
B,722 - 498,224
B,844 - 619,225
I,650 - 267,383
I,682 - 298,384
I,847 - 462,385
I,959 - 573,386
I,535 - 148,387
I,601 - 213,388
I,928 - 539,389
I,870 - 480,390
I,835 - 444,391
I,926 - 534,392
I,434 - 41,393
I,930 - 536,394
I,637 - 242,395
I,758 - 362,396
I,449 - 52,397
N,661 - 114,547
N,614 - 66,548
N,929 - 380,549
N,945 - 395,550
N,739 - 188,551
N,838 - 286,552
N,650 - 97,553
N,983 - 429,554
N,927 - 372,555
N,937 - 381,556
N,908 - 351,557
N,852 - 294,558
N,945 - 386,559
N,734 - 174,560
N,851 - 290,561
G,804 - 98,706
G,791 - 84,707
G,747 - 39,708
G,764 - 55,709
G,907 - 197,710
G,900 - 189,711
G,907 - 195,712
G,772 - 59,713
G,861 - 147,714
G,882 - 167,715
G,823 - 107,716
G,953 - 236,717
G,791 - 73,718
G,745 - 26,719
G,919 - 199,720
O,902 - 41,861
O,931 - 69,862
O,939 - 76,863
O,950 - 86,864
O,915 - 50,865
O,935 - 69,866
O,972 - 105,867
O,967 - 99,868
O,931 - 62,869
O,932 - 62,870
O,913 - 42,871
O,969 - 97,872
O,982 - 109,873
O,982 - 108,874
O,950 - 75,875
