column,problem,answer
B,11 ÷ 11,1
B,6 ÷ 3,2
B,21 ÷ 7,3
B,20 ÷ 5,4
B,40 ÷ 8,5
B,66 ÷ 11,6
B,70 ÷ 10,7
B,56 ÷ 7,8
B,108 ÷ 12,9
B,40 ÷ 4,10
B,33 ÷ 3,11
B,120 ÷ 10,12
I,4 ÷ 4,1
I,24 ÷ 12,2
I,24 ÷ 8,3
I,40 ÷ 10,4
I,55 ÷ 11,5
I,72 ÷ 12,6
I,21 ÷ 3,7
I,32 ÷ 4,8
I,54 ÷ 6,9
I,100 ÷ 10,10
I,132 ÷ 12,11
I,132 ÷ 11,12
N,5 ÷ 5,1
N,8 ÷ 4,2
N,24 ÷ 8,3
N,28 ÷ 7,4
N,20 ÷ 4,5
N,24 ÷ 4,6
N,28 ÷ 4,7
N,64 ÷ 8,8
N,90 ÷ 10,9
N,80 ÷ 8,10
N,66 ÷ 6,11
N,72 ÷ 6,12
G,3 ÷ 3,1
G,8 ÷ 4,2
G,33 ÷ 11,3
G,32 ÷ 8,4
G,30 ÷ 6,5
G,36 ÷ 6,6
G,56 ÷ 8,7
G,48 ÷ 6,8
G,72 ÷ 8,9
G,120 ÷ 12,10
G,132 ÷ 12,11
G,48 ÷ 4,12
O,9 ÷ 9,1
O,16 ÷ 8,2
O,9 ÷ 3,3
O,48 ÷ 12,4
O,55 ÷ 11,5
O,30 ÷ 5,6
O,35 ÷ 5,7
O,80 ÷ 10,8
O,54 ÷ 6,9
O,50 ÷ 5,10
O,55 ÷ 5,11
O,132 ÷ 11,12
