column,problem,answer
B,1/5 = ?/10,2
B,1/3 = ?/9,3
B,1/10 = ?/40,4
B,1/12 = ?/60,5
B,1/5 = ?/30,6
B,1/5 = ?/35,7
B,1/12 = ?/96,8
B,3/11 = ?/33,9
B,5/11 = ?/22,10
B,4/7 = ?/21,12
B,2/9 = ?/63,14
B,3/11 = ?/55,15
B,4/11 = ?/44,16
B,3/8 = ?/48,18
B,5/12 = ?/48,20
I,5/6 = ?/12,10
I,2/9 = ?/54,12
I,7/9 = ?/18,14
I,5/8 = ?/24,15
I,2/11 = ?/88,16
I,9/10 = ?/20,18
I,5/8 = ?/32,20
I,7/8 = ?/24,21
I,11/12 = ?/24,22
I,3/8 = ?/64,24
I,5/12 = ?/60,25
I,3/8 = ?/72,27
I,7/12 = ?/48,28
I,5/9 = ?/54,30
I,8/11 = ?/44,32
N,11/12 = ?/24,22
N,3/10 = ?/80,24
N,5/11 = ?/55,25
N,3/11 = ?/99,27
N,4/11 = ?/77,28
N,5/7 = ?/42,30
N,4/11 = ?/88,32
N,11/12 = ?/36,33
N,5/7 = ?/49,35
N,4/11 = ?/99,36
N,5/11 = ?/88,40
N,6/11 = ?/77,42
N,11/12 = ?/48,44
N,5/11 = ?/99,45
N,8/9 = ?/54,48
G,4/9 = ?/81,36
G,5/8 = ?/64,40
G,7/11 = ?/66,42
G,11/12 = ?/48,44
G,5/7 = ?/63,45
G,8/11 = ?/66,48
G,7/12 = ?/84,49
G,10/11 = ?/55,50
G,9/10 = ?/60,54
G,11/12 = ?/60,55
G,7/10 = ?/80,56
G,10/11 = ?/66,60
G,9/10 = ?/70,63
G,8/9 = ?/72,64
G,11/12 = ?/72,66
O,6/11 = ?/99,54
O,11/12 = ?/60,55
O,7/9 = ?/72,56
O,10/11 = ?/66,60
O,9/11 = ?/77,63
O,8/9 = ?/72,64
O,11/12 = ?/72,66
O,10/11 = ?/77,70
O,8/11 = ?/99,72
O,11/12 = ?/84,77
O,10/11 = ?/88,80
O,9/10 = ?/90,81
O,11/12 = ?/96,88
O,10/11 = ?/99,90
O,11/12 = ?/108,99
