column,problem,answer
B,5 × 4,20
B,6 × 7,42
B,5 × 7,35
B,5 × 3,15
B,5 × 5,25
B,3 × 6,18
B,4 × 8,32
B,10 × 3,30
B,36 ÷ 9,4
B,18 ÷ 3,6
B,66 ÷ 6,11
B,80 ÷ 10,8
B,40 ÷ 8,5
B,9 ÷ 9,1
B,8 ÷ 4,2
I,4 × 12,48
I,8 × 4,32
I,7 × 6,42
I,3 × 11,33
I,7 × 7,49
I,4 × 11,44
I,7 × 4,28
I,9 × 6,54
I,36 ÷ 4,9
I,42 ÷ 6,7
I,60 ÷ 5,12
I,33 ÷ 11,3
I,60 ÷ 10,6
I,4 ÷ 4,1
I,8 ÷ 4,2
N,8 × 7,56
N,6 × 9,54
N,8 × 8,64
N,7 × 10,70
N,5 × 11,55
N,7 × 9,63
N,4 × 11,44
N,6 × 11,66
N,44 ÷ 4,11
N,56 ÷ 8,7
N,54 ÷ 6,9
N,45 ÷ 9,5
N,96 ÷ 8,12
N,10 ÷ 10,1
N,18 ÷ 9,2
G,7 × 9,63
G,12 × 5,60
G,10 × 7,70
G,8 × 12,96
G,9 × 8,72
G,7 × 8,56
G,7 × 12,84
G,9 × 9,81
G,72 ÷ 12,6
G,96 ÷ 12,8
G,48 ÷ 4,12
G,30 ÷ 3,10
G,27 ÷ 3,9
G,5 ÷ 5,1
G,22 ÷ 11,2
O,12 × 9,108
O,11 × 8,88
O,9 × 10,90
O,12 × 7,84
O,9 × 11,99
O,11 × 7,77
O,12 × 12,144
O,8 × 12,96
O,63 ÷ 7,9
O,42 ÷ 6,7
O,70 ÷ 7,10
O,88 ÷ 8,11
O,120 ÷ 10,12
O,3 ÷ 3,1
O,10 ÷ 5,2
