column,problem,answer
B,0 × 10,0
B,1 × 7,7
B,8 × 1,8
B,3 × 3,9
B,11 × 1,11
B,3 × 4,12
B,7 × 2,14
B,3 × 5,15
B,4 × 4,16
B,3 × 6,18
B,5 × 4,20
B,3 × 7,21
B,11 × 2,22
B,4 × 6,24
B,5 × 5,25
I,4 × 5,20
I,7 × 3,21
I,2 × 11,22
I,6 × 4,24
I,5 × 5,25
I,3 × 9,27
I,4 × 7,28
I,3 × 10,30
I,4 × 8,32
I,3 × 11,33
I,7 × 5,35
I,6 × 6,36
I,4 × 10,40
I,7 × 6,42
I,11 × 4,44
N,3 × 11,33
N,7 × 5,35
N,4 × 9,36
N,10 × 4,40
N,6 × 7,42
N,4 × 11,44
N,5 × 9,45
N,4 × 12,48
N,7 × 7,49
N,5 × 10,50
N,9 × 6,54
N,11 × 5,55
N,7 × 8,56
N,12 × 5,60
N,7 × 9,63
G,10 × 5,50
G,9 × 6,54
G,5 × 11,55
G,8 × 7,56
G,12 × 5,60
G,7 × 9,63
G,8 × 8,64
G,11 × 6,66
G,10 × 7,70
G,8 × 9,72
G,7 × 11,77
G,8 × 10,80
G,9 × 9,81
G,12 × 7,84
G,11 × 8,88
O,11 × 7,77
O,10 × 8,80
O,9 × 9,81
O,7 × 12,84
O,8 × 11,88
O,10 × 9,90
O,8 × 12,96
O,11 × 9,99
O,10 × 10,100
O,9 × 12,108
O,11 × 10,110
O,10 × 12,120
O,11 × 11,121
O,12 × 11,132
O,12 × 12,144
