column,problem,answer
B,2 × 20,40
B,2 × 30,60
B,2 × 40,80
B,3 × 30,90
B,2 × 50,100
B,4 × 30,120
B,2 × 70,140
B,5 × 30,150
B,4 × 40,160
B,9 × 20,180
B,5 × 40,200
B,3 × 70,210
B,4 × 60,240
B,5 × 50,250
B,3 × 90,270
I,5 × 20,100
I,2 × 60,120
I,7 × 20,140
I,3 × 50,150
I,2 × 80,160
I,6 × 30,180
I,4 × 50,200
I,7 × 30,210
I,8 × 30,240
I,5 × 50,250
I,9 × 30,270
I,7 × 40,280
I,5 × 60,300
I,8 × 40,320
I,5 × 70,350
N,2 × 80,160
N,2 × 90,180
N,4 × 50,200
N,3 × 70,210
N,3 × 80,240
N,5 × 50,250
N,9 × 30,270
N,7 × 40,280
N,6 × 50,300
N,8 × 40,320
N,5 × 70,350
N,4 × 90,360
N,8 × 50,400
N,7 × 60,420
N,9 × 50,450
G,8 × 30,240
G,5 × 50,250
G,9 × 30,270
G,4 × 70,280
G,6 × 50,300
G,4 × 80,320
G,7 × 50,350
G,9 × 40,360
G,8 × 50,400
G,6 × 70,420
G,9 × 50,450
G,6 × 80,480
G,7 × 70,490
G,9 × 60,540
G,8 × 70,560
O,5 × 60,300
O,4 × 80,320
O,7 × 50,350
O,9 × 40,360
O,8 × 50,400
O,7 × 60,420
O,5 × 90,450
O,6 × 80,480
O,7 × 70,490
O,6 × 90,540
O,8 × 70,560
O,9 × 70,630
O,8 × 80,640
O,8 × 90,720
O,9 × 90,810
