column,problem,answer
B,Rectangle: 2 by 2. Area?,4
B,Rectangle: 2 by 5. Area?,10
B,Rectangle: 4 by 4. Area?,16
B,Rectangle: 2 by 11. Area?,22
B,Rectangle: 3 by 9. Area?,27
B,Rectangle: 3 by 11. Area?,33
B,Rectangle: 2 by 19. Area?,38
B,Rectangle: 2 by 22. Area?,44
B,Rectangle: 7 by 7. Area?,49
B,Rectangle: 3 by 18. Area?,54
B,Rectangle: 2 by 29. Area?,58
B,Rectangle: 5 by 13. Area?,65
B,Rectangle: 7 by 10. Area?,70
B,Rectangle: 7 by 11. Area?,77
B,Rectangle: 3 by 28. Area?,84
I,Rectangle: 3 by 30. Area?,90
I,Rectangle: 8 by 12. Area?,96
I,Rectangle: 6 by 17. Area?,102
I,Rectangle: 5 by 22. Area?,110
I,Rectangle: 4 by 29. Area?,116
I,Rectangle: 11 by 11. Area?,121
I,Rectangle: 10 by 13. Area?,130
I,Rectangle: 8 by 17. Area?,136
I,Rectangle: 9 by 16. Area?,144
I,Rectangle: 8 by 19. Area?,152
I,Rectangle: 8 by 20. Area?,160
I,Rectangle: 6 by 28. Area?,168
I,Rectangle: 6 by 29. Area?,174
I,Rectangle: 13 by 14. Area?,182
I,Rectangle: 10 by 19. Area?,190
N,Rectangle: 11 by 18. Area?,198
N,Rectangle: 9 by 23. Area?,207
N,Rectangle: 9 by 24. Area?,216
N,Rectangle: 9 by 25. Area?,225
N,Rectangle: 8 by 29. Area?,232
N,Rectangle: 11 by 22. Area?,242
N,Rectangle: 12 by 21. Area?,252
N,Rectangle: 13 by 20. Area?,260
N,Rectangle: 15 by 18. Area?,270
N,Rectangle: 12 by 23. Area?,276
N,Rectangle: 16 by 18. Area?,288
N,Rectangle: 11 by 27. Area?,297
N,Rectangle: 17 by 18. Area?,306
N,Rectangle: 11 by 29. Area?,319
N,Rectangle: 12 by 27. Area?,324
G,Rectangle: 13 by 26. Area?,338
G,Rectangle: 12 by 29. Area?,348
G,Rectangle: 17 by 21. Area?,357
G,Rectangle: 16 by 23. Area?,368
G,Rectangle: 14 by 27. Area?,378
G,Rectangle: 17 by 23. Area?,391
G,Rectangle: 16 by 25. Area?,400
G,Rectangle: 18 by 23. Area?,414
G,Rectangle: 17 by 25. Area?,425
G,Rectangle: 20 by 22. Area?,440
G,Rectangle: 18 by 25. Area?,450
G,Rectangle: 21 by 22. Area?,462
G,Rectangle: 17 by 28. Area?,476
G,Rectangle: 18 by 27. Area?,486
G,Rectangle: 21 by 24. Area?,504
O,Rectangle: 20 by 26. Area?,520
O,Rectangle: 23 by 23. Area?,529
O,Rectangle: 22 by 25. Area?,550
O,Rectangle: 21 by 27. Area?,567
O,Rectangle: 24 by 24. Area?,576
O,Rectangle: 23 by 26. Area?,598
O,Rectangle: 23 by 27. Area?,621
O,Rectangle: 22 by 29. Area?,638
O,Rectangle: 22 by 30. Area?,660
O,Rectangle: 26 by 26. Area?,676
O,Rectangle: 26 by 27. Area?,702
O,Rectangle: 27 by 27. Area?,729
O,Rectangle: 26 by 30. Area?,780
O,Rectangle: 28 by 29. Area?,812
O,Rectangle: 30 by 30. Area?,900
