column,problem,answer
B,Round 19 to the nearest 10,20
B,Round 25 to the nearest 10,30
B,Round 52 to the nearest 10,50
B,Round 55 to the nearest 10,60
B,Round 72 to the nearest 10,70
B,Round 85 to the nearest 10,90
B,Round 103 to the nearest 10,100
B,Round 107 to the nearest 10,110
B,Round 134 to the nearest 10,130
B,Round 139 to the nearest 10,140
B,Round 148 to the nearest 10,150
B,Round 169 to the nearest 10,170
B,Round 178 to the nearest 10,180
B,Round 193 to the nearest 10,190
B,Round 208 to the nearest 10,210
I,Round 215 to the nearest 10,220
I,Round 227 to the nearest 10,230
I,Round 252 to the nearest 10,250
I,Round 258 to the nearest 10,260
I,Round 271 to the nearest 10,270
I,Round 278 to the nearest 10,280
I,Round 296 to the nearest 10,300
I,Round 307 to the nearest 10,310
I,Round 315 to the nearest 10,320
I,Round 335 to the nearest 10,340
I,Round 348 to the nearest 10,350
I,Round 364 to the nearest 10,360
I,Round 379 to the nearest 10,380
I,Round 391 to the nearest 10,390
I,Round 396 to the nearest 10,400
N,Round 424 to the nearest 10,420
N,Round 433 to the nearest 10,430
N,Round 444 to the nearest 10,440
N,Round 463 to the nearest 10,460
N,Round 468 to the nearest 10,470
N,Round 484 to the nearest 10,480
N,Round 503 to the nearest 10,500
N,Round 508 to the nearest 10,510
N,Round 523 to the nearest 10,520
N,Round 544 to the nearest 10,540
N,Round 545 to the nearest 10,550
N,Round 556 to the nearest 10,560
N,Round 576 to the nearest 10,580
N,Round 585 to the nearest 10,590
N,Round 601 to the nearest 10,600
G,Round 615 to the nearest 10,620
G,Round 633 to the nearest 10,630
G,Round 642 to the nearest 10,640
G,Round 655 to the nearest 10,660
G,Round 672 to the nearest 10,670
G,Round 676 to the nearest 10,680
G,Round 703 to the nearest 10,700
G,Round 713 to the nearest 10,710
G,Round 718 to the nearest 10,720
G,Round 742 to the nearest 10,740
G,Round 752 to the nearest 10,750
G,Round 755 to the nearest 10,760
G,Round 774 to the nearest 10,770
G,Round 793 to the nearest 10,790
G,Round 801 to the nearest 10,800
O,Round 812 to the nearest 10,810
O,Round 827 to the nearest 10,830
O,Round 835 to the nearest 10,840
O,Round 845 to the nearest 10,850
O,Round 872 to the nearest 10,870
O,Round 882 to the nearest 10,880
O,Round 894 to the nearest 10,890
O,Round 912 to the nearest 10,910
O,Round 922 to the nearest 10,920
O,Round 929 to the nearest 10,930
O,Round 951 to the nearest 10,950
O,Round 956 to the nearest 10,960
O,Round 968 to the nearest 10,970
O,Round 992 to the nearest 10,990
O,Round 995 to the nearest 10,1000
