column,problem,answer
B,2 × 1/9,2/9
B,2 × 1/8,2/8
B,2 × 1/6,2/6
B,3 × 1/8,3/8
B,3 × 1/7,3/7
B,2 × 2/9,4/9
B,3 × 1/6,3/6
B,2 × 2/7,4/7
B,3 × 1/5,3/5
B,2 × 1/3,2/3
B,5 × 1/7,5/7
B,2 × 3/8,6/8
B,4 × 1/5,4/5
B,5 × 1/6,5/6
B,7 × 1/8,7/8
I,4 × 2/9,8/9
I,6 × 1/6,6/6
I,3 × 3/8,9/8
I,2 × 4/7,8/7
I,3 × 2/5,6/5
I,5 × 1/4,5/4
I,6 × 2/9,12/9
I,7 × 1/5,7/5
I,5 × 2/7,10/7
I,7 × 2/9,14/9
I,8 × 1/5,8/5
I,4 × 3/7,12/7
I,2 × 7/8,14/8
I,8 × 2/9,16/9
I,3 × 5/8,15/8
N,4 × 1/2,4/2
N,4 × 5/9,20/9
N,6 × 3/8,18/8
N,4 × 4/7,16/7
N,4 × 3/5,12/5
N,4 × 5/8,20/8
N,3 × 7/8,21/8
N,8 × 1/3,8/3
N,5 × 5/9,25/9
N,5 × 4/7,20/7
N,9 × 1/3,9/3
N,5 × 5/8,25/8
N,4 × 4/5,16/5
N,6 × 5/9,30/9
N,6 × 4/7,24/7
G,7 × 1/2,7/2
G,5 × 5/7,25/7
G,6 × 3/5,18/5
G,6 × 5/8,30/8
G,5 × 7/9,35/9
G,8 × 1/2,8/2
G,7 × 3/5,21/5
G,5 × 6/7,30/7
G,7 × 5/8,35/8
G,6 × 3/4,18/4
G,8 × 4/7,32/7
G,8 × 3/5,24/5
G,9 × 5/9,45/9
G,6 × 7/8,42/8
G,8 × 2/3,16/3
O,9 × 3/5,27/5
O,7 × 4/5,28/5
O,9 × 5/8,45/8
O,7 × 5/6,35/6
O,9 × 2/3,18/3
O,7 × 7/8,49/8
O,8 × 4/5,32/5
O,9 × 5/7,45/7
O,9 × 3/4,27/4
O,8 × 6/7,48/7
O,8 × 7/8,56/8
O,9 × 4/5,36/5
O,9 × 5/6,45/6
O,9 × 7/8,63/8
O,9 × 8/9,72/9
