column,problem,answer
B,19/12 - 18/12,1/12
B,6/11 - 5/11,1/11
B,14/10 - 13/10,1/10
B,6/8 - 5/8,1/8
B,6/7 - 5/7,1/7
B,3/6 - 2/6,1/6
B,14/11 - 12/11,2/11
B,14/9 - 12/9,2/9
B,8/8 - 6/8,2/8
B,21/11 - 18/11,3/11
B,9/7 - 7/7,2/7
B,5/9 - 2/9,3/9
B,12/11 - 8/11,4/11
B,11/8 - 8/8,3/8
B,6/5 - 4/5,2/5
I,10/12 - 5/12,5/12
I,14/9 - 10/9,4/9
I,9/11 - 4/11,5/11
I,4/12 + 2/12,6/12
I,17/11 - 11/11,6/11
I,12/7 - 8/7,4/7
I,8/12 - 1/12,7/12
I,7/10 - 1/10,6/10
I,3/8 + 2/8,5/8
I,9/9 - 3/9,6/9
I,9/10 - 2/10,7/10
I,4/7 + 1/7,5/7
I,16/11 - 8/11,8/11
I,15/8 - 9/8,6/8
I,17/10 - 9/10,8/10
N,1/11 + 8/11,9/11
N,8/12 + 2/12,10/12
N,8/7 - 2/7,6/7
N,6/9 + 2/9,8/9
N,1/10 + 8/10,9/10
N,12/11 - 2/11,10/11
N,21/12 - 10/12,11/12
N,3/12 + 10/12,13/12
N,14/11 - 2/11,12/11
N,16/10 - 5/10,11/10
N,11/9 - 1/9,10/9
N,14/8 - 5/8,9/8
N,19/12 - 5/12,14/12
N,9/11 + 4/11,13/11
N,6/10 + 6/10,12/10
G,4/9 + 7/9,11/9
G,5/11 + 9/11,14/11
G,6/7 + 3/7,9/7
G,16/10 - 3/10,13/10
G,1/9 + 11/9,12/9
G,11/11 + 4/11,15/11
G,8/10 + 6/10,14/10
G,4/12 + 13/12,17/12
G,4/7 + 6/7,10/7
G,9/9 + 4/9,13/9
G,13/8 - 1/8,12/8
G,2/11 + 15/11,17/11
G,8/9 + 6/9,14/9
G,13/7 - 2/7,11/7
G,17/10 - 1/10,16/10
O,10/8 + 3/8,13/8
O,11/11 + 7/11,18/11
O,14/12 + 6/12,20/12
O,16/10 + 1/10,17/10
O,9/11 + 10/11,19/11
O,12/12 + 9/12,21/12
O,1/9 + 15/9,16/9
O,1/10 + 17/10,18/10
O,9/6 + 2/6,11/6
O,2/7 + 11/7,13/7
O,1/8 + 14/8,15/8
O,15/9 + 2/9,17/9
O,17/11 + 4/11,21/11
O,8/12 + 15/12,23/12
O,5/5 + 5/5,10/5
