column,problem,answer
B,21 ÷ 7,3
B,54 ÷ 3,18
B,198 ÷ 6,33
B,240 ÷ 5,48
B,252 ÷ 4,63
B,624 ÷ 8,78
B,372 ÷ 4,93
B,324 ÷ 3,108
B,861 ÷ 7,123
B,414 ÷ 3,138
B,765 ÷ 5,153
B,336 ÷ 2,168
B,915 ÷ 5,183
B,1584 ÷ 8,198
B,1278 ÷ 6,213
I,912 ÷ 4,228
I,1215 ÷ 5,243
I,2064 ÷ 8,258
I,2184 ÷ 8,273
I,574 ÷ 2,287
I,2114 ÷ 7,302
I,2853 ÷ 9,317
I,2656 ÷ 8,332
I,1735 ÷ 5,347
I,1086 ÷ 3,362
I,2639 ÷ 7,377
I,2744 ÷ 7,392
I,3256 ÷ 8,407
I,2532 ÷ 6,422
I,2185 ÷ 5,437
N,3164 ÷ 7,452
N,3269 ÷ 7,467
N,4338 ÷ 9,482
N,1988 ÷ 4,497
N,1536 ÷ 3,512
N,4216 ÷ 8,527
N,3794 ÷ 7,542
N,1671 ÷ 3,557
N,2860 ÷ 5,572
N,1174 ÷ 2,587
N,1806 ÷ 3,602
N,5553 ÷ 9,617
N,3160 ÷ 5,632
N,1941 ÷ 3,647
N,5958 ÷ 9,662
G,2708 ÷ 4,677
G,2076 ÷ 3,692
G,6363 ÷ 9,707
G,5054 ÷ 7,722
G,5896 ÷ 8,737
G,4512 ÷ 6,752
G,6136 ÷ 8,767
G,3128 ÷ 4,782
G,3188 ÷ 4,797
G,5684 ÷ 7,812
G,4962 ÷ 6,827
G,6728 ÷ 8,841
G,5992 ÷ 7,856
G,3484 ÷ 4,871
G,1772 ÷ 2,886
O,6307 ÷ 7,901
O,6412 ÷ 7,916
O,5586 ÷ 6,931
O,8514 ÷ 9,946
O,1922 ÷ 2,961
O,8784 ÷ 9,976
O,3964 ÷ 4,991
O,5030 ÷ 5,1006
O,5105 ÷ 5,1021
O,9324 ÷ 9,1036
O,9459 ÷ 9,1051
O,6396 ÷ 6,1066
O,8648 ÷ 8,1081
O,7672 ÷ 7,1096
O,8888 ÷ 8,1111
