column,problem,answer
B,1048 + 1062,2110
B,6480 - 4369,2111
B,1043 + 1069,2112
B,8078 - 5965,2113
B,1020 + 1094,2114
B,8872 - 6757,2115
B,1028 + 1088,2116
B,8404 - 6287,2117
B,1073 + 1045,2118
B,9667 - 7548,2119
B,1036 + 1084,2120
B,8419 - 6298,2121
B,1082 + 1040,2122
B,8218 - 6095,2123
B,1117 + 1007,2124
I,2507 + 1133,3640
I,7106 - 3465,3641
I,2077 + 1565,3642
I,6003 - 2360,3643
I,1795 + 1849,3644
I,5222 - 1577,3645
I,2347 + 1299,3646
I,9541 - 5894,3647
I,2399 + 1249,3648
I,9804 - 6155,3649
I,1584 + 2066,3650
I,7220 - 3569,3651
I,1649 + 2003,3652
I,6991 - 3338,3653
I,1748 + 1906,3654
N,2544 + 2626,5170
N,8852 - 3681,5171
N,1219 + 3953,5172
N,6846 - 1673,5173
N,3509 + 1665,5174
N,7960 - 2785,5175
N,3868 + 1308,5176
N,7934 - 2757,5177
N,2925 + 2253,5178
N,8902 - 3723,5179
N,1152 + 4028,5180
N,9126 - 3945,5181
N,1735 + 3447,5182
N,9754 - 4571,5183
N,3737 + 1447,5184
G,3950 + 2750,6700
G,9300 - 2599,6701
G,1723 + 4979,6702
G,9209 - 2506,6703
G,4218 + 2486,6704
G,9791 - 3086,6705
G,3593 + 3113,6706
G,9143 - 2436,6707
G,5214 + 1494,6708
G,8330 - 1621,6709
G,3262 + 3448,6710
G,8077 - 1366,6711
G,1008 + 5704,6712
G,9651 - 2938,6713
G,4719 + 1995,6714
O,1265 + 6965,8230
O,9629 - 1398,8231
O,2273 + 5959,8232
O,9692 - 1459,8233
O,1922 + 6312,8234
O,9326 - 1091,8235
O,5274 + 2962,8236
O,9923 - 1686,8237
O,6482 + 1756,8238
O,9962 - 1723,8239
O,4323 + 3917,8240
O,9502 - 1261,8241
O,7150 + 1092,8242
O,9980 - 1737,8243
O,3187 + 5057,8244
