column,problem,answer
B,1033 + 1077,2110
B,1051 + 1060,2111
B,1090 + 1022,2112
B,1081 + 1032,2113
B,1087 + 1027,2114
B,1093 + 1022,2115
B,1022 + 1094,2116
B,1069 + 1048,2117
B,1060 + 1058,2118
B,1021 + 1098,2119
B,1078 + 1042,2120
B,1074 + 1047,2121
B,1113 + 1009,2122
B,1035 + 1088,2123
B,1038 + 1086,2124
I,2415 + 1225,3640
I,2048 + 1593,3641
I,1576 + 2066,3642
I,1338 + 2305,3643
I,1508 + 2136,3644
I,2448 + 1197,3645
I,1385 + 2261,3646
I,1695 + 1952,3647
I,2253 + 1395,3648
I,1150 + 2499,3649
I,1866 + 1784,3650
I,1416 + 2235,3651
I,1371 + 2281,3652
I,1373 + 2280,3653
I,1207 + 2447,3654
N,2035 + 3135,5170
N,1833 + 3338,5171
N,2571 + 2601,5172
N,3307 + 1866,5173
N,2317 + 2857,5174
N,3746 + 1429,5175
N,1792 + 3384,5176
N,1705 + 3472,5177
N,2319 + 2859,5178
N,1977 + 3202,5179
N,3500 + 1680,5180
N,1944 + 3237,5181
N,3253 + 1929,5182
N,1370 + 3813,5183
N,2875 + 2309,5184
G,4445 + 2255,6700
G,1487 + 5214,6701
G,2929 + 3773,6702
G,4798 + 1905,6703
G,3864 + 2840,6704
G,4371 + 2334,6705
G,1582 + 5124,6706
G,5420 + 1287,6707
G,4048 + 2660,6708
G,2922 + 3787,6709
G,5404 + 1306,6710
G,3435 + 3276,6711
G,3308 + 3404,6712
G,1928 + 4785,6713
G,2932 + 3782,6714
O,4310 + 3920,8230
O,3185 + 5046,8231
O,4359 + 3873,8232
O,1548 + 6685,8233
O,4777 + 3457,8234
O,1919 + 6316,8235
O,5507 + 2729,8236
O,6314 + 1923,8237
O,5062 + 3176,8238
O,2357 + 5882,8239
O,3207 + 5033,8240
O,6150 + 2091,8241
O,1026 + 7216,8242
O,5303 + 2940,8243
O,3894 + 4350,8244
