column,problem,answer
B,1500 × 2,3000
B,2192 × 2,4384
B,1341 × 4,5364
B,2079 × 3,6237
B,1015 × 7,7105
B,1976 × 4,7904
B,1741 × 5,8705
B,1901 × 5,9505
B,1145 × 9,10305
B,2221 × 5,11105
B,1701 × 7,11907
B,2541 × 5,12705
B,2251 × 6,13506
B,2861 × 5,14305
B,2518 × 6,15108
I,3181 × 5,15905
I,3341 × 5,16705
I,2501 × 7,17507
I,9153 × 2,18306
I,3821 × 5,19105
I,3981 × 5,19905
I,3451 × 6,20706
I,5377 × 4,21508
I,5577 × 4,22308
I,7702 × 3,23106
I,7969 × 3,23907
I,8235 × 3,24705
I,5101 × 5,25505
I,3758 × 7,26306
I,3012 × 9,27108
N,9302 × 3,27906
N,4101 × 7,28707
N,7377 × 4,29508
N,6070 × 5,30350
N,5209 × 6,31254
N,8039 × 4,32156
N,4723 × 7,33061
N,4246 × 8,33968
N,4982 × 7,34874
N,5963 × 6,35778
N,7337 × 5,36685
N,9397 × 4,37588
N,5499 × 7,38493
N,9850 × 4,39400
N,8067 × 5,40335
G,5906 × 7,41342
G,4705 × 9,42345
G,6193 × 7,43351
G,5544 × 8,44352
G,7559 × 6,45354
G,9272 × 5,46360
G,9473 × 5,47365
G,5374 × 9,48366
G,7053 × 7,49371
G,6311 × 8,50488
G,6473 × 8,51784
G,7583 × 7,53081
G,6798 × 8,54384
G,6187 × 9,55683
G,8140 × 7,56980
O,7285 × 8,58280
O,8511 × 7,59577
O,6785 × 9,61065
O,8949 × 7,62643
O,8027 × 8,64216
O,9399 × 7,65793
O,9625 × 7,67375
O,8619 × 8,68952
O,7866 × 9,70794
O,8129 × 9,73161
O,8392 × 9,75528
O,8655 × 9,77895
O,8947 × 9,80523
O,9473 × 9,85257
O,9999 × 9,89991
