column,problem,answer
B,4400 - 2290,2110
B,5032 - 2921,2111
B,5059 - 2947,2112
B,8066 - 5953,2113
B,6820 - 4706,2114
B,9423 - 7308,2115
B,4122 - 2006,2116
B,4260 - 2143,2117
B,6068 - 3950,2118
B,7120 - 5001,2119
B,8903 - 6783,2120
B,8812 - 6691,2121
B,8092 - 5970,2122
B,7381 - 5258,2123
B,9623 - 7499,2124
I,5592 - 1952,3640
I,7904 - 4263,3641
I,9438 - 5796,3642
I,7348 - 3705,3643
I,8651 - 5007,3644
I,7083 - 3438,3645
I,9825 - 6179,3646
I,8729 - 5082,3647
I,9321 - 5673,3648
I,6538 - 2889,3649
I,4924 - 1274,3650
I,5215 - 1564,3651
I,5230 - 1578,3652
I,5002 - 1349,3653
I,6635 - 2981,3654
N,9036 - 3866,5170
N,7370 - 2199,5171
N,6601 - 1429,5172
N,7814 - 2641,5173
N,7314 - 2140,5174
N,8116 - 2941,5175
N,7682 - 2506,5176
N,8271 - 3094,5177
N,9371 - 4193,5178
N,9568 - 4389,5179
N,8077 - 2897,5180
N,6764 - 1583,5181
N,6835 - 1653,5182
N,8228 - 3045,5183
N,6812 - 1628,5184
G,9231 - 2531,6700
G,8134 - 1433,6701
G,9147 - 2445,6702
G,8053 - 1350,6703
G,8387 - 1683,6704
G,8541 - 1836,6705
G,8313 - 1607,6706
G,8774 - 2067,6707
G,9566 - 2858,6708
G,8586 - 1877,6709
G,9035 - 2325,6710
G,9014 - 2303,6711
G,7901 - 1189,6712
G,8439 - 1726,6713
G,8385 - 1671,6714
O,9927 - 1697,8230
O,9523 - 1292,8231
O,9341 - 1109,8232
O,9831 - 1598,8233
O,9793 - 1559,8234
O,9751 - 1516,8235
O,9333 - 1097,8236
O,9263 - 1026,8237
O,9261 - 1023,8238
O,9427 - 1188,8239
O,9916 - 1676,8240
O,9829 - 1588,8241
O,9839 - 1597,8242
O,9831 - 1588,8243
O,9512 - 1268,8244
