column,problem,answer
B,\frac{2}{4},\frac{1}{2}
B,\frac{2}{6},\frac{1}{3}
B,\frac{4}{6},\frac{2}{3}
B,\frac{2}{8},\frac{1}{4}
B,\frac{6}{8},\frac{3}{4}
B,\frac{2}{10},\frac{1}{5}
B,\frac{8}{10},\frac{4}{5}
B,\frac{2}{12},\frac{1}{6}
B,\frac{10}{12},\frac{5}{6}
B,\frac{6}{4},\frac{3}{2}
B,\frac{8}{6},\frac{4}{3}
B,\frac{10}{6},\frac{5}{3}
B,\frac{2}{16},\frac{1}{8}
B,\frac{14}{16},\frac{7}{8}
B,\frac{22}{4},\frac{11}{2}
I,\frac{3}{6},\frac{1}{2}
I,\frac{3}{9},\frac{1}{3}
I,\frac{6}{9},\frac{2}{3}
I,\frac{3}{12},\frac{1}{4}
I,\frac{9}{12},\frac{3}{4}
I,\frac{3}{15},\frac{1}{5}
I,\frac{6}{15},\frac{2}{5}
I,\frac{9}{15},\frac{3}{5}
I,\frac{3}{18},\frac{1}{6}
I,\frac{15}{18},\frac{5}{6}
I,\frac{9}{6},\frac{3}{2}
I,\frac{12}{9},\frac{4}{3}
I,\frac{3}{21},\frac{1}{7}
I,\frac{6}{21},\frac{2}{7}
I,\frac{15}{9},\frac{5}{3}
N,\frac{4}{8},\frac{1}{2}
N,\frac{4}{12},\frac{1}{3}
N,\frac{8}{12},\frac{2}{3}
N,\frac{4}{16},\frac{1}{4}
N,\frac{12}{16},\frac{3}{4}
N,\frac{4}{20},\frac{1}{5}
N,\frac{8}{20},\frac{2}{5}
N,\frac{12}{20},\frac{3}{5}
N,\frac{16}{20},\frac{4}{5}
N,\frac{4}{24},\frac{1}{6}
N,\frac{20}{24},\frac{5}{6}
N,\frac{12}{8},\frac{3}{2}
N,\frac{16}{12},\frac{4}{3}
N,\frac{20}{8},\frac{5}{2}
N,\frac{20}{16},\frac{5}{4}
G,\frac{5}{10},\frac{1}{2}
G,\frac{5}{15},\frac{1}{3}
G,\frac{10}{15},\frac{2}{3}
G,\frac{5}{20},\frac{1}{4}
G,\frac{15}{20},\frac{3}{4}
G,\frac{15}{10},\frac{3}{2}
G,\frac{20}{15},\frac{4}{3}
G,\frac{3}{24},\frac{1}{8}
G,\frac{9}{24},\frac{3}{8}
G,\frac{15}{24},\frac{5}{8}
G,\frac{21}{12},\frac{7}{4}
G,\frac{15}{6},\frac{5}{2}
G,\frac{21}{9},\frac{7}{3}
G,\frac{24}{9},\frac{8}{3}
G,\frac{21}{18},\frac{7}{6}
O,\frac{18}{4},\frac{9}{2}
O,\frac{22}{6},\frac{11}{3}
O,\frac{18}{8},\frac{9}{4}
O,\frac{22}{8},\frac{11}{4}
O,\frac{22}{10},\frac{11}{5}
O,\frac{2}{18},\frac{1}{9}
O,\frac{4}{18},\frac{2}{9}
O,\frac{10}{18},\frac{5}{9}
O,\frac{14}{18},\frac{7}{9}
O,\frac{16}{18},\frac{8}{9}
O,\frac{2}{20},\frac{1}{10}
O,\frac{6}{20},\frac{3}{10}
O,\frac{18}{20},\frac{9}{10}
O,\frac{2}{22},\frac{1}{11}
O,\frac{11}{22},\frac{1}{2}
