column,problem,answer
B,74 + 141,215
B,436 - 220,216
B,179 + 38,217
B,648 - 430,218
B,209 + 10,219
B,508 - 288,220
B,147 + 74,221
B,719 - 497,222
B,200 + 23,223
B,360 - 136,224
B,41 + 184,225
B,642 - 416,226
B,33 + 194,227
B,938 - 710,228
B,177 + 52,229
I,227 + 153,380
I,835 - 454,381
I,97 + 285,382
I,759 - 376,383
I,192 + 192,384
I,543 - 158,385
I,172 + 214,386
I,598 - 211,387
I,286 + 102,388
I,999 - 610,389
I,129 + 261,390
I,662 - 271,391
I,326 + 66,392
I,515 - 122,393
I,286 + 108,394
N,354 + 191,545
N,666 - 120,546
N,210 + 337,547
N,796 - 248,548
N,128 + 421,549
N,844 - 294,550
N,21 + 530,551
N,651 - 99,552
N,272 + 281,553
N,696 - 142,554
N,135 + 420,555
N,751 - 195,556
N,404 + 153,557
N,988 - 430,558
N,110 + 449,559
G,101 + 609,710
G,832 - 121,711
G,200 + 512,712
G,730 - 17,713
G,614 + 100,714
G,949 - 234,715
G,509 + 207,716
G,837 - 120,717
G,272 + 446,718
G,870 - 151,719
G,620 + 100,720
G,916 - 195,721
G,145 + 577,722
G,811 - 88,723
G,137 + 587,724
O,445 + 410,855
O,884 - 28,856
O,735 + 122,857
O,979 - 121,858
O,271 + 588,859
O,956 - 96,860
O,836 + 25,861
O,983 - 121,862
O,525 + 338,863
O,929 - 65,864
O,530 + 335,865
O,966 - 100,866
O,448 + 419,867
O,999 - 131,868
O,627 + 242,869
