column,problem,answer
B,164 + 51,215
B,110 + 106,216
B,106 + 111,217
B,48 + 170,218
B,171 + 48,219
B,210 + 10,220
B,174 + 47,221
B,202 + 20,222
B,64 + 159,223
B,127 + 97,224
B,202 + 23,225
B,57 + 169,226
B,83 + 144,227
B,162 + 66,228
B,75 + 154,229
I,272 + 108,380
I,20 + 361,381
I,292 + 90,382
I,260 + 123,383
I,159 + 225,384
I,240 + 145,385
I,85 + 301,386
I,191 + 196,387
I,292 + 96,388
I,95 + 294,389
I,163 + 227,390
I,80 + 311,391
I,370 + 22,392
I,144 + 249,393
I,40 + 354,394
N,335 + 210,545
N,203 + 343,546
N,89 + 458,547
N,400 + 148,548
N,137 + 412,549
N,517 + 33,550
N,451 + 100,551
N,169 + 383,552
N,233 + 320,553
N,22 + 532,554
N,511 + 44,555
N,163 + 393,556
N,432 + 125,557
N,315 + 243,558
N,392 + 167,559
G,10 + 700,710
G,400 + 311,711
G,680 + 32,712
G,200 + 513,713
G,211 + 503,714
G,14 + 701,715
G,98 + 618,716
G,311 + 406,717
G,516 + 202,718
G,562 + 157,719
G,21 + 699,720
G,501 + 220,721
G,211 + 511,722
G,610 + 113,723
G,291 + 433,724
O,115 + 740,855
O,442 + 414,856
O,803 + 54,857
O,539 + 319,858
O,147 + 712,859
O,204 + 656,860
O,728 + 133,861
O,173 + 689,862
O,609 + 254,863
O,190 + 674,864
O,543 + 322,865
O,809 + 57,866
O,245 + 622,867
O,593 + 275,868
O,772 + 97,869
