column,problem,answer
B,435 - 220,215
B,265 - 49,216
B,938 - 721,217
B,539 - 321,218
B,523 - 304,219
B,719 - 499,220
B,433 - 212,221
B,680 - 458,222
B,719 - 496,223
B,369 - 145,224
B,603 - 378,225
B,794 - 568,226
B,418 - 191,227
B,314 - 86,228
B,313 - 84,229
I,882 - 502,380
I,896 - 515,381
I,440 - 58,382
I,509 - 126,383
I,943 - 559,384
I,976 - 591,385
I,830 - 444,386
I,912 - 525,387
I,799 - 411,388
I,435 - 46,389
I,498 - 108,390
I,899 - 508,391
I,795 - 403,392
I,885 - 492,393
I,865 - 471,394
N,593 - 48,545
N,851 - 305,546
N,719 - 172,547
N,651 - 103,548
N,907 - 358,549
N,568 - 18,550
N,988 - 437,551
N,584 - 32,552
N,762 - 209,553
N,682 - 128,554
N,919 - 364,555
N,958 - 402,556
N,969 - 412,557
N,769 - 211,558
N,859 - 300,559
G,801 - 91,710
G,746 - 35,711
G,991 - 279,712
G,907 - 194,713
G,947 - 233,714
G,999 - 284,715
G,887 - 171,716
G,806 - 89,717
G,969 - 251,718
G,840 - 121,719
G,811 - 91,720
G,911 - 190,721
G,987 - 265,722
G,744 - 21,723
G,828 - 104,724
O,901 - 46,855
O,988 - 132,856
O,970 - 113,857
O,877 - 19,858
O,900 - 41,859
O,900 - 40,860
O,892 - 31,861
O,872 - 10,862
O,932 - 69,863
O,986 - 122,864
O,921 - 56,865
O,986 - 120,866
O,979 - 112,867
O,943 - 75,868
O,999 - 130,869
