column,problem,answer
B,\frac{2}{3} + \frac{1}{4},\frac{11}{12}
B,\frac{1}{3} + \frac{3}{4},\frac{13}{12}
B,\frac{1}{2} + \frac{1}{4},\frac{3}{4}
B,\frac{1}{2} + \frac{1}{3},\frac{5}{6}
B,\frac{1}{2} + \frac{2}{3},\frac{7}{6}
B,\frac{1}{2} + \frac{3}{4},\frac{5}{4}
B,\frac{1}{2} + \frac{2}{5},\frac{9}{10}
B,\frac{1}{3} + \frac{1}{6},\frac{1}{2}
B,\frac{2}{3} + \frac{5}{6},\frac{3}{2}
B,\frac{1}{2} + \frac{3}{8},\frac{7}{8}
B,\frac{1}{2} + \frac{4}{5},\frac{13}{10}
B,\frac{1}{3} + \frac{1}{4},\frac{7}{12}
B,\frac{1}{2} + \frac{7}{8},\frac{11}{8}
B,\frac{1}{4} + \frac{1}{6},\frac{5}{12}
B,\frac{5}{6} + \frac{11}{12},\frac{7}{4}
I,\frac{1}{3} + \frac{7}{12},\frac{11}{12}
I,\frac{2}{3} + \frac{5}{12},\frac{13}{12}
I,\frac{1}{3} + \frac{5}{12},\frac{3}{4}
I,\frac{2}{3} + \frac{1}{6},\frac{5}{6}
I,\frac{1}{3} + \frac{5}{6},\frac{7}{6}
I,\frac{1}{3} + \frac{11}{12},\frac{5}{4}
I,\frac{1}{2} + \frac{3}{5},\frac{11}{10}
I,\frac{1}{5} + \frac{3}{10},\frac{1}{2}
I,\frac{1}{4} + \frac{5}{8},\frac{7}{8}
I,\frac{1}{2} + \frac{5}{8},\frac{9}{8}
I,\frac{1}{2} + \frac{1}{5},\frac{7}{10}
I,\frac{2}{3} + \frac{3}{4},\frac{17}{12}
I,\frac{1}{2} + \frac{1}{6},\frac{2}{3}
I,\frac{1}{4} + \frac{1}{8},\frac{3}{8}
I,\frac{3}{4} + \frac{7}{8},\frac{13}{8}
N,\frac{3}{4} + \frac{1}{6},\frac{11}{12}
N,\frac{1}{4} + \frac{5}{6},\frac{13}{12}
N,\frac{2}{3} + \frac{1}{12},\frac{3}{4}
N,\frac{1}{4} + \frac{7}{12},\frac{5}{6}
N,\frac{1}{4} + \frac{11}{12},\frac{7}{6}
N,\frac{1}{5} + \frac{7}{10},\frac{9}{10}
N,\frac{1}{5} + \frac{9}{10},\frac{11}{10}
N,\frac{2}{5} + \frac{1}{10},\frac{1}{2}
N,\frac{1}{4} + \frac{7}{8},\frac{9}{8}
N,\frac{2}{5} + \frac{3}{10},\frac{7}{10}
N,\frac{2}{5} + \frac{9}{10},\frac{13}{10}
N,\frac{5}{6} + \frac{7}{12},\frac{17}{12}
N,\frac{1}{2} + \frac{5}{6},\frac{4}{3}
N,\frac{1}{4} + \frac{1}{12},\frac{1}{3}
N,\frac{1}{6} + \frac{1}{12},\frac{1}{4}
G,\frac{1}{2} + \frac{5}{12},\frac{11}{12}
G,\frac{1}{6} + \frac{11}{12},\frac{13}{12}
G,\frac{1}{6} + \frac{7}{12},\frac{3}{4}
G,\frac{2}{3} + \frac{7}{12},\frac{5}{4}
G,\frac{3}{5} + \frac{3}{10},\frac{9}{10}
G,\frac{2}{5} + \frac{7}{10},\frac{11}{10}
G,\frac{3}{4} + \frac{1}{12},\frac{5}{6}
G,\frac{3}{5} + \frac{9}{10},\frac{3}{2}
G,\frac{3}{4} + \frac{1}{8},\frac{7}{8}
G,\frac{3}{4} + \frac{3}{8},\frac{9}{8}
G,\frac{1}{2} + \frac{1}{12},\frac{7}{12}
G,\frac{5}{6} + \frac{3}{4},\frac{19}{12}
G,\frac{1}{5} + \frac{1}{10},\frac{3}{10}
G,\frac{3}{4} + \frac{11}{12},\frac{5}{3}
G,\frac{1}{2} + \frac{1}{10},\frac{3}{5}
O,\frac{5}{6} + \frac{1}{12},\frac{11}{12}
O,\frac{1}{2} + \frac{7}{12},\frac{13}{12}
O,\frac{3}{4} + \frac{5}{12},\frac{7}{6}
O,\frac{5}{6} + \frac{5}{12},\frac{5}{4}
O,\frac{4}{5} + \frac{1}{10},\frac{9}{10}
O,\frac{4}{5} + \frac{3}{10},\frac{11}{10}
O,\frac{4}{5} + \frac{7}{10},\frac{3}{2}
O,\frac{3}{5} + \frac{1}{10},\frac{7}{10}
O,\frac{3}{5} + \frac{7}{10},\frac{13}{10}
O,\frac{1}{6} + \frac{5}{12},\frac{7}{12}
O,\frac{1}{2} + \frac{11}{12},\frac{17}{12}
O,\frac{1}{2} + \frac{3}{10},\frac{4}{5}
O,\frac{1}{2} + \frac{7}{10},\frac{6}{5}
O,\frac{1}{2} + \frac{9}{10},\frac{7}{5}
O,\frac{4}{5} + \frac{9}{10},\frac{17}{10}
