column,problem,answer
B,1.8 - 1.7,0.1
B,7.3 - 6.9,0.4
B,9.2 - 8.6,0.6
B,5.6 - 4.7,0.9
B,4.6 - 3.4,1.2
B,4.5 - 3.1,1.4
B,5.2 - 3.5,1.7
B,1.4 + 0.6,2
B,5.8 - 3.6,2.2
B,4.7 - 2.2,2.5
B,0.3 + 2.5,2.8
B,9.2 - 6.2,3
B,2 + 1.3,3.3
B,6.9 - 3.3,3.6
B,3.9 - 0.1,3.8
I,6.3 - 2.2,4.1
I,1.7 + 2.7,4.4
I,5.6 - 1,4.6
I,0.5 + 4.4,4.9
I,8 - 2.8,5.2
I,8.1 - 2.7,5.4
I,8.4 - 2.7,5.7
I,3.2 + 2.8,6
I,2.7 + 3.5,6.2
I,8.9 - 2.4,6.5
I,5.6 + 1.2,6.8
I,9.1 - 2.1,7
I,2.6 + 4.7,7.3
I,1.4 + 6.2,7.6
I,0.9 + 6.9,7.8
N,5 + 3.1,8.1
N,6 + 2.4,8.4
N,9.4 - 0.8,8.6
N,2.8 + 6.1,8.9
N,3.7 + 5.5,9.2
N,0.4 + 9,9.4
N,1.1 + 8.6,9.7
N,9.2 + 0.7,9.9
N,0.5 + 9.7,10.2
N,6.5 + 4,10.5
N,1.6 + 9.1,10.7
N,5.8 + 5.2,11
N,7.4 + 3.9,11.3
N,2.4 + 9.1,11.5
N,4.3 + 7.5,11.8
G,3.3 + 8.8,12.1
G,6.4 + 5.9,12.3
G,6.4 + 6.2,12.6
G,9.5 + 3.4,12.9
G,6.8 + 6.3,13.1
G,9.3 + 4.1,13.4
G,9.5 + 4.2,13.7
G,9.8 + 4.1,13.9
G,8.4 + 5.8,14.2
G,7.8 + 6.7,14.5
G,7.9 + 6.8,14.7
G,8.9 + 6.1,15
G,6.7 + 8.6,15.3
G,7.8 + 7.7,15.5
G,7 + 8.8,15.8
O,6.6 + 9.5,16.1
O,7.7 + 8.6,16.3
O,8.5 + 8.1,16.6
O,8.4 + 8.5,16.9
O,8.5 + 8.6,17.1
O,7.5 + 9.9,17.4
O,9.9 + 7.8,17.7
O,8.2 + 9.7,17.9
O,9 + 9.2,18.2
O,9.6 + 8.9,18.5
O,9.4 + 9.3,18.7
O,9.1 + 9.9,19
O,9.6 + 9.7,19.3
O,9.8 + 9.7,19.5
O,9.9 + 9.9,19.8
