column,problem,answer
B,0.2 × 2,0.4
B,0.2 × 5,1
B,0.3 × 5,1.5
B,0.7 × 3,2.1
B,1.3 × 2,2.6
B,0.3 × 10,3
B,0.5 × 7,3.5
B,0.8 × 5,4
B,0.9 × 5,4.5
B,1 × 5,5
B,1.1 × 5,5.5
B,2.9 × 2,5.8
B,3.2 × 2,6.4
B,2.3 × 3,6.9
B,3.7 × 2,7.4
I,2.6 × 3,7.8
I,2.8 × 3,8.4
I,2.9 × 3,8.7
I,2.3 × 4,9.2
I,2.4 × 4,9.6
I,2.5 × 4,10
I,0.9 × 12,10.8
I,1.9 × 6,11.4
I,3.9 × 3,11.7
I,4.1 × 3,12.3
I,3.2 × 4,12.8
I,3.3 × 4,13.2
I,2.3 × 6,13.8
I,1.6 × 9,14.4
I,3.7 × 4,14.8
N,2.2 × 7,15.4
N,2.3 × 7,16.1
N,1.5 × 11,16.5
N,4.3 × 4,17.2
N,4.5 × 4,18
N,3.7 × 5,18.5
N,2.7 × 7,18.9
N,2.8 × 7,19.6
N,2.9 × 7,20.3
N,2.6 × 8,20.8
N,4.3 × 5,21.5
N,3.7 × 6,22.2
N,4.6 × 5,23
N,3.9 × 6,23.4
N,2.2 × 11,24.2
G,3.1 × 8,24.8
G,2.3 × 11,25.3
G,2.6 × 10,26
G,4.5 × 6,27
G,2.5 × 11,27.5
G,4.7 × 6,28.2
G,2.9 × 10,29
G,3.3 × 9,29.7
G,3.4 × 9,30.6
G,3.5 × 9,31.5
G,4.6 × 7,32.2
G,3 × 11,33
G,3.1 × 11,34.1
G,4.3 × 8,34.4
G,4.4 × 8,35.2
O,4.1 × 9,36.9
O,3.4 × 11,37.4
O,4.8 × 8,38.4
O,4.9 × 8,39.2
O,4.5 × 9,40.5
O,4.6 × 9,41.4
O,3.9 × 11,42.9
O,4.4 × 10,44
O,4.1 × 11,45.1
O,3.9 × 12,46.8
O,4 × 12,48
O,4.5 × 11,49.5
O,4.7 × 11,51.7
O,4.5 × 12,54
O,4.9 × 12,58.8
