column,problem,answer
B,\frac{2}{3} \times \frac{3}{4},\frac{1}{2}
B,\frac{4}{5} \times \frac{5}{6},\frac{2}{3}
B,\frac{9}{10} \times \frac{5}{6},\frac{3}{4}
B,\frac{8}{9} \times \frac{9}{10},\frac{4}{5}
B,\frac{1}{2} \times \frac{2}{5},\frac{1}{5}
B,\frac{1}{2} \times \frac{4}{5},\frac{2}{5}
B,\frac{5}{4} \times \frac{2}{3},\frac{5}{6}
B,\frac{1}{3} \times \frac{1}{4},\frac{1}{12}
B,\frac{1}{4} \div \frac{3}{4},\frac{1}{3}
B,\frac{1}{6} \div \frac{2}{3},\frac{1}{4}
B,\frac{1}{4} \div \frac{3}{2},\frac{1}{6}
B,\frac{1}{2} \div \frac{1}{3},\frac{3}{2}
B,\frac{8}{9} \div \frac{2}{3},\frac{4}{3}
B,\frac{5}{6} \div \frac{1}{2},\frac{5}{3}
B,\frac{7}{8} \div \frac{1}{4},\frac{7}{2}
I,\frac{9}{8} \times \frac{4}{3},\frac{3}{2}
I,\frac{5}{6} \times \frac{3}{2},\frac{5}{4}
I,\frac{8}{9} \times \frac{3}{2},\frac{4}{3}
I,\frac{5}{4} \times \frac{4}{3},\frac{5}{3}
I,\frac{7}{2} \times \frac{1}{2},\frac{7}{4}
I,\frac{9}{4} \times \frac{1}{2},\frac{9}{8}
I,\frac{3}{5} \times \frac{5}{8},\frac{3}{8}
I,\frac{5}{6} \times \frac{3}{4},\frac{5}{8}
I,\frac{1}{4} \div \frac{9}{4},\frac{1}{9}
I,\frac{1}{3} \div \frac{3}{2},\frac{2}{9}
I,\frac{1}{4} \div \frac{5}{2},\frac{1}{10}
I,\frac{3}{4} \div \frac{5}{2},\frac{3}{10}
I,\frac{1}{2} \div \frac{5}{9},\frac{9}{10}
I,\frac{2}{5} \div \frac{1}{2},\frac{4}{5}
I,\frac{1}{10} \div \frac{1}{2},\frac{1}{5}
N,\frac{3}{4} \times \frac{1}{3},\frac{1}{4}
N,\frac{3}{10} \times \frac{2}{3},\frac{1}{5}
N,\frac{2}{3} \times \frac{3}{5},\frac{2}{5}
N,\frac{9}{10} \times \frac{2}{3},\frac{3}{5}
N,\frac{1}{4} \times \frac{2}{3},\frac{1}{6}
N,\frac{5}{8} \times \frac{1}{5},\frac{1}{8}
N,\frac{5}{4} \times \frac{1}{2},\frac{5}{8}
N,\frac{3}{4} \times \frac{2}{5},\frac{3}{10}
N,\frac{1}{2} \div \frac{4}{7},\frac{7}{8}
N,\frac{3}{4} \div \frac{1}{2},\frac{3}{2}
N,\frac{5}{9} \div \frac{1}{3},\frac{5}{3}
N,\frac{7}{9} \div \frac{1}{3},\frac{7}{3}
N,\frac{5}{6} \div \frac{2}{3},\frac{5}{4}
N,\frac{9}{8} \div \frac{1}{2},\frac{9}{4}
N,\frac{5}{6} \div \frac{1}{3},\frac{5}{2}
G,\frac{4}{9} \times \frac{9}{10},\frac{2}{5}
G,\frac{6}{7} \times \frac{7}{10},\frac{3}{5}
G,\frac{5}{9} \times \frac{3}{2},\frac{5}{6}
G,\frac{1}{3} \times \frac{1}{3},\frac{1}{9}
G,\frac{1}{3} \times \frac{2}{3},\frac{2}{9}
G,\frac{2}{3} \times \frac{2}{3},\frac{4}{9}
G,\frac{1}{2} \times \frac{1}{6},\frac{1}{12}
G,\frac{5}{6} \times \frac{1}{2},\frac{5}{12}
G,\frac{1}{2} \div \frac{7}{2},\frac{1}{7}
G,\frac{1}{2} \div \frac{7}{4},\frac{2}{7}
G,\frac{3}{4} \div \frac{7}{4},\frac{3}{7}
G,\frac{5}{4} \div \frac{7}{4},\frac{5}{7}
G,\frac{3}{2} \div \frac{7}{4},\frac{6}{7}
G,\frac{1}{2} \div \frac{4}{5},\frac{5}{8}
G,\frac{1}{4} \div \frac{2}{7},\frac{7}{8}
O,\frac{8}{5} \times \frac{1}{2},\frac{4}{5}
O,\frac{5}{2} \times \frac{1}{4},\frac{5}{8}
O,\frac{7}{2} \times \frac{1}{4},\frac{7}{8}
O,\frac{7}{4} \times \frac{1}{3},\frac{7}{12}
O,\frac{5}{3} \times \frac{1}{3},\frac{5}{9}
O,\frac{7}{3} \times \frac{1}{3},\frac{7}{9}
O,\frac{3}{2} \times \frac{3}{5},\frac{9}{10}
O,\frac{7}{5} \times \frac{1}{2},\frac{7}{10}
O,\frac{3}{10} \div \frac{6}{5},\frac{1}{4}
O,\frac{1}{2} \div \frac{5}{2},\frac{1}{5}
O,\frac{1}{5} \div \frac{6}{5},\frac{1}{6}
O,\frac{1}{2} \div \frac{3}{7},\frac{7}{6}
O,\frac{9}{10} \div \frac{3}{5},\frac{3}{2}
O,\frac{7}{2} \div \frac{3}{2},\frac{7}{3}
O,\frac{3}{2} \div \frac{2}{3},\frac{9}{4}
