column,problem,answer
B,4 × 3 - 12,0
B,12 ÷ 12 + 2,3
B,2 × 5 - 5,5
B,8 × (11 - 10),8
B,2 × 2 + 6,10
B,9 + 2 × 2,13
B,12 + 9 ÷ 3,15
B,2 × (4 + 5),18
B,8 × 3 - 4,20
B,11 + 6 × 2,23
B,10 × 3 - 5,25
B,2 × (12 + 2),28
B,(11 - 8) × 10,30
B,6 + 3 × 9,33
B,5 × 9 - 10,35
I,6 × 8 - 10,38
I,10 × (8 - 4),40
I,5 × 10 - 7,43
I,(8 + 7) × 3,45
I,6 × (11 - 3),48
I,9 + 6 × 7,51
I,3 + 10 × 5,53
I,4 × 12 + 8,56
I,9 + 7 × 7,58
I,6 × 11 - 5,61
I,9 × (5 + 2),63
I,(7 + 4) × 6,66
I,4 × (9 + 8),68
I,7 + 8 × 8,71
I,3 + 10 × 7,73
N,4 × (8 + 11),76
N,6 + 8 × 9,78
N,11 + 7 × 10,81
N,8 × 11 - 5,83
N,9 + 7 × 11,86
N,(4 + 7) × 8,88
N,(11 + 2) × 7,91
N,12 × 7 + 10,94
N,12 + 7 × 12,96
N,(7 + 4) × 9,99
N,12 × 8 + 5,101
N,(8 + 5) × 8,104
N,10 × 10 + 6,106
N,12 × 10 - 11,109
N,3 + 9 × 12,111
G,6 × (7 + 12),114
G,12 × 9 + 8,116
G,7 × (5 + 12),119
G,(2 + 9) × 11,121
G,11 × 12 - 8,124
G,(10 + 8) × 7,126
G,8 + 11 × 11,129
G,11 × 11 + 10,131
G,12 × 11 + 2,134
G,4 + 12 × 11,136
G,12 × 11 + 7,139
G,10 + 11 × 12,142
G,9 × (8 + 8),144
G,12 × 12 + 4,148
G,(8 + 7) × 10,150
O,9 + 12 × 12,153
O,12 × 12 + 11,155
O,7 × (11 + 12),161
O,11 × (11 + 4),165
O,9 × (11 + 8),171
O,10 × (9 + 9),180
O,(11 + 10) × 9,189
O,8 × (12 + 12),192
O,(6 + 11) × 12,204
O,(7 + 12) × 11,209
O,11 × (12 + 8),220
O,(12 + 11) × 10,230
O,11 × (12 + 10),242
O,(12 + 11) × 11,253
O,12 × (12 + 12),288
