column,problem,answer
B,2000 ÷ 1000,2
B,70 ÷ 10,7
B,120 ÷ 10,12
B,17000 ÷ 1000,17
B,2200 ÷ 100,22
B,270 ÷ 10,27
B,320 ÷ 10,32
B,37000 ÷ 1000,37
B,42000 ÷ 1000,42
B,470 ÷ 10,47
B,52000 ÷ 1000,52
B,57000 ÷ 1000,57
B,620 ÷ 10,62
B,660 ÷ 10,66
B,710 ÷ 10,71
I,7600 ÷ 100,76
I,810 ÷ 10,81
I,860 ÷ 10,86
I,910 ÷ 10,91
I,960 ÷ 10,96
I,11 × 10,110
I,16 × 10,160
I,21 × 10,210
I,26 × 10,260
I,31 × 10,310
I,36 × 10,360
I,41 × 10,410
I,46 × 10,460
I,51 × 10,510
I,56 × 10,560
N,61 × 10,610
N,66 × 10,660
N,71 × 10,710
N,76 × 10,760
N,81 × 10,810
N,86 × 10,860
N,91 × 10,910
N,96 × 10,960
N,10 × 100,1000
N,15 × 100,1500
N,20 × 100,2000
N,25 × 100,2500
N,3 × 1000,3000
N,35 × 100,3500
N,40 × 100,4000
G,45 × 100,4500
G,50 × 100,5000
G,55 × 100,5500
G,60 × 100,6000
G,65 × 100,6500
G,70 × 100,7000
G,75 × 100,7500
G,8 × 1000,8000
G,85 × 100,8500
G,9 × 1000,9000
G,95 × 100,9500
G,10 × 1000,10000
G,15 × 1000,15000
G,20 × 1000,20000
G,25 × 1000,25000
O,30 × 1000,30000
O,35 × 1000,35000
O,39 × 1000,39000
O,44 × 1000,44000
O,49 × 1000,49000
O,54 × 1000,54000
O,59 × 1000,59000
O,64 × 1000,64000
O,69 × 1000,69000
O,74 × 1000,74000
O,79 × 1000,79000
O,84 × 1000,84000
O,89 × 1000,89000
O,94 × 1000,94000
O,99 × 1000,99000
