column,problem,answer
B,\frac{1}{3} - \frac{1}{4},\frac{1}{12}
B,\frac{1}{2} - \frac{2}{5},\frac{1}{10}
B,\frac{1}{2} - \frac{3}{8},\frac{1}{8}
B,\frac{1}{2} - \frac{1}{3},\frac{1}{6}
B,\frac{1}{2} - \frac{3}{10},\frac{1}{5}
B,\frac{1}{2} - \frac{1}{4},\frac{1}{4}
B,\frac{1}{2} - \frac{1}{5},\frac{3}{10}
B,\frac{1}{2} - \frac{1}{6},\frac{1}{3}
B,\frac{1}{2} - \frac{1}{10},\frac{2}{5}
B,\frac{1}{2} - \frac{1}{8},\frac{3}{8}
B,\frac{11}{12} - \frac{1}{6},\frac{3}{4}
B,\frac{5}{6} - \frac{1}{3},\frac{1}{2}
B,\frac{11}{12} - \frac{1}{3},\frac{7}{12}
B,\frac{1}{3} - \frac{2}{9},\frac{1}{9}
B,\frac{1}{3} - \frac{1}{9},\frac{2}{9}
I,\frac{2}{3} - \frac{7}{12},\frac{1}{12}
I,\frac{3}{5} - \frac{1}{2},\frac{1}{10}
I,\frac{5}{8} - \frac{1}{2},\frac{1}{8}
I,\frac{2}{3} - \frac{1}{2},\frac{1}{6}
I,\frac{3}{4} - \frac{1}{2},\frac{1}{4}
I,\frac{4}{5} - \frac{1}{2},\frac{3}{10}
I,\frac{5}{6} - \frac{1}{2},\frac{1}{3}
I,\frac{7}{8} - \frac{1}{2},\frac{3}{8}
I,\frac{3}{4} - \frac{1}{3},\frac{5}{12}
I,\frac{2}{3} - \frac{1}{6},\frac{1}{2}
I,\frac{7}{8} - \frac{1}{4},\frac{5}{8}
I,\frac{11}{12} - \frac{1}{4},\frac{2}{3}
I,\frac{4}{9} - \frac{1}{3},\frac{1}{9}
I,\frac{5}{9} - \frac{1}{3},\frac{2}{9}
I,\frac{7}{9} - \frac{1}{3},\frac{4}{9}
N,\frac{5}{12} - \frac{1}{3},\frac{1}{12}
N,\frac{1}{5} - \frac{1}{10},\frac{1}{10}
N,\frac{1}{4} - \frac{1}{8},\frac{1}{8}
N,\frac{1}{3} - \frac{1}{6},\frac{1}{6}
N,\frac{7}{10} - \frac{1}{2},\frac{1}{5}
N,\frac{1}{3} - \frac{1}{12},\frac{1}{4}
N,\frac{2}{5} - \frac{1}{10},\frac{3}{10}
N,\frac{7}{12} - \frac{1}{4},\frac{1}{3}
N,\frac{2}{3} - \frac{1}{4},\frac{5}{12}
N,\frac{7}{10} - \frac{1}{5},\frac{1}{2}
N,\frac{2}{3} - \frac{1}{12},\frac{7}{12}
N,\frac{3}{4} - \frac{1}{12},\frac{2}{3}
N,\frac{2}{3} - \frac{5}{9},\frac{1}{9}
N,\frac{2}{3} - \frac{2}{9},\frac{4}{9}
N,\frac{2}{3} - \frac{1}{9},\frac{5}{9}
G,\frac{1}{4} - \frac{1}{6},\frac{1}{12}
G,\frac{3}{10} - \frac{1}{5},\frac{1}{10}
G,\frac{3}{8} - \frac{1}{4},\frac{1}{8}
G,\frac{5}{6} - \frac{2}{3},\frac{1}{6}
G,\frac{7}{12} - \frac{1}{3},\frac{1}{4}
G,\frac{3}{5} - \frac{3}{10},\frac{3}{10}
G,\frac{3}{4} - \frac{5}{12},\frac{1}{3}
G,\frac{9}{10} - \frac{1}{2},\frac{2}{5}
G,\frac{5}{8} - \frac{1}{4},\frac{3}{8}
G,\frac{5}{6} - \frac{5}{12},\frac{5}{12}
G,\frac{9}{10} - \frac{2}{5},\frac{1}{2}
G,\frac{5}{6} - \frac{1}{4},\frac{7}{12}
G,\frac{9}{10} - \frac{1}{5},\frac{7}{10}
G,\frac{8}{9} - \frac{2}{3},\frac{2}{9}
G,\frac{8}{9} - \frac{1}{3},\frac{5}{9}
O,\frac{5}{6} - \frac{3}{4},\frac{1}{12}
O,\frac{4}{5} - \frac{7}{10},\frac{1}{10}
O,\frac{3}{4} - \frac{5}{8},\frac{1}{8}
O,\frac{1}{4} - \frac{1}{12},\frac{1}{6}
O,\frac{11}{12} - \frac{2}{3},\frac{1}{4}
O,\frac{7}{10} - \frac{2}{5},\frac{3}{10}
O,\frac{3}{4} - \frac{3}{8},\frac{3}{8}
O,\frac{7}{12} - \frac{1}{6},\frac{5}{12}
O,\frac{4}{5} - \frac{3}{10},\frac{1}{2}
O,\frac{3}{4} - \frac{1}{8},\frac{5}{8}
O,\frac{3}{4} - \frac{1}{6},\frac{7}{12}
O,\frac{4}{5} - \frac{1}{10},\frac{7}{10}
O,\frac{5}{6} - \frac{1}{12},\frac{3}{4}
O,\frac{7}{9} - \frac{2}{3},\frac{1}{9}
O,\frac{2}{3} - \frac{4}{9},\frac{2}{9}
