column,problem,answer
B,|17 - 16|,1
B,|21 - 19|,2
B,|8 - 5|,3
B,|12 - 16|,4
B,|26 - 21|,5
B,|9 - 15|,6
B,|32 - 25|,7
B,|-6| + |-2|,8
B,|10 - 1|,9
B,|25 - 15|,10
B,|1 - 13|,12
B,|-8| + |-5|,13
B,|21 - 7|,14
B,|-3| + |-12|,15
B,|42 - 26|,16
I,|-1| + |-16|,17
I,|17 - 35|,18
I,|-10| + |-9|,19
I,|24 - 4|,20
I,|44 - 23|,21
I,|35 - 13|,22
I,|-16| + |-7|,23
I,|-5| + |-19|,24
I,|25|,25
I,|15 - 41|,26
I,|-2| + |-25|,27
I,|37 - 9|,28
I,|41 - 12|,29
I,|-22| + |-9|,31
I,|-10| + |-22|,32
N,|-18| + |-15|,33
N,|-22| + |-12|,34
N,|-30| + |-5|,35
N,|-28| + |-8|,36
N,|1 - 38|,37
N,|43 - 5|,38
N,|-3| + |-36|,39
N,|-38| + |-2|,40
N,|-39| + |-2|,41
N,|-13| + |-29|,42
N,|-28| + |-15|,43
N,|-38| + |-6|,44
N,|-32| + |-13|,45
N,|-12| + |-34|,46
N,|-9| + |-38|,47
G,|-26| + |-22|,48
G,|-23| + |-26|,49
G,|-11| + |-40|,51
G,|-13| + |-39|,52
G,|-12| + |-41|,53
G,|-30| + |-24|,54
G,|-39| + |-16|,55
G,|-32| + |-24|,56
G,|-24| + |-33|,57
G,|-28| + |-30|,58
G,|-15| + |-44|,59
G,|-17| + |-43|,60
G,|-33| + |-28|,61
G,|-44| + |-18|,62
G,|-29| + |-34|,63
O,|-25| + |-39|,64
O,|-26| + |-39|,65
O,|-31| + |-35|,66
O,|-29| + |-38|,67
O,|-34| + |-34|,68
O,|-43| + |-27|,70
O,|-28| + |-43|,71
O,|-40| + |-32|,72
O,|-38| + |-35|,73
O,|-74|,74
O,|-39| + |-36|,75
O,|-39| + |-37|,76
O,|-44| + |-33|,77
O,|-35| + |-43|,78
O,|-36| + |-43|,79
