column,problem,answer
B,2x - 13 (x = 7),1
B,3x - 5 (x = 3),4
B,3x + 1 (x = 2),7
B,2x - 12 (x = 11),10
B,2x - 6 (x = 10),14
B,9x - 10 (x = 3),17
B,9x + 2 (x = 2),20
B,5x + 3 (x = 4),23
B,7x + 12 (x = 2),26
B,3x - 4 (x = 11),29
B,4x + 9 (x = 6),33
B,4x + 16 (x = 5),36
B,7x - 3 (x = 6),39
B,8x + 10 (x = 4),42
B,3x - 12 (x = 19),45
I,4x + 16 (x = 8),48
I,9x - 11 (x = 7),52
I,2x + 7 (x = 24),55
I,3x - 2 (x = 20),58
I,7x - 16 (x = 11),61
I,5x - 16 (x = 16),64
I,6x + 1 (x = 11),67
I,4x - 5 (x = 19),71
I,8x - 6 (x = 10),74
I,9x - 13 (x = 10),77
I,6x + 2 (x = 13),80
I,7x - 1 (x = 12),83
I,4x - 10 (x = 24),86
I,6x + 6 (x = 14),90
I,5x - 17 (x = 22),93
N,8x + 8 (x = 11),96
N,4x + 15 (x = 21),99
N,5x - 3 (x = 21),102
N,8x + 17 (x = 11),105
N,7x - 3 (x = 16),109
N,7x - 14 (x = 18),112
N,6x + 19 (x = 16),115
N,5x + 3 (x = 23),118
N,8x - 15 (x = 17),121
N,8x + 12 (x = 14),124
N,6x + 7 (x = 20),127
N,8x - 13 (x = 18),131
N,7x + 15 (x = 17),134
N,6x + 5 (x = 22),137
N,8x - 12 (x = 19),140
G,9x - 19 (x = 18),143
G,8x + 10 (x = 17),146
G,7x + 17 (x = 19),150
G,6x + 15 (x = 23),153
G,8x + 4 (x = 19),156
G,6x + 15 (x = 24),159
G,9x - 18 (x = 20),162
G,9x + 12 (x = 17),165
G,8x + 1 (x = 21),169
G,9x + 10 (x = 18),172
G,7x + 14 (x = 23),175
G,7x + 10 (x = 24),178
G,8x - 3 (x = 23),181
G,8x + 16 (x = 21),184
G,9x - 10 (x = 22),188
O,8x + 7 (x = 23),191
O,9x + 14 (x = 20),194
O,8x + 5 (x = 24),197
O,9x - 7 (x = 23),200
O,8x + 19 (x = 23),203
O,9x + 18 (x = 21),207
O,9x + 3 (x = 23),210
O,9x + 15 (x = 22),213
O,9x + 9 (x = 23),216
O,9x + 12 (x = 23),219
O,9x + 15 (x = 23),222
O,9x + 10 (x = 24),226
O,9x + 13 (x = 24),229
O,9x + 16 (x = 24),232
O,9x + 19 (x = 24),235
