column,problem,answer
B,"\operatorname{GCF}(7, 15)",1
B,"\operatorname{GCF}(6, 10)",2
B,"\operatorname{GCF}(9, 12)",3
B,"\operatorname{GCF}(8, 12)",4
B,"\operatorname{GCF}(10, 15)",5
B,"\operatorname{GCF}(12, 18)",6
B,"\operatorname{GCF}(14, 21)",7
B,"\operatorname{GCF}(16, 24)",8
B,"\operatorname{GCF}(18, 27)",9
B,"\operatorname{GCF}(20, 30)",10
B,"\operatorname{GCF}(22, 33)",11
B,"\operatorname{GCF}(24, 36)",12
B,"\operatorname{GCF}(28, 42)",14
B,"\operatorname{GCF}(30, 45)",15
B,"\operatorname{GCF}(32, 80)",16
I,"\operatorname{GCF}(9, 14)",1
I,"\operatorname{GCF}(8, 14)",2
I,"\operatorname{GCF}(15, 21)",3
I,"\operatorname{GCF}(16, 20)",4
I,"\operatorname{GCF}(15, 25)",5
I,"\operatorname{GCF}(18, 30)",6
I,"\operatorname{GCF}(21, 35)",7
I,"\operatorname{GCF}(24, 40)",8
I,"\operatorname{GCF}(27, 45)",9
I,"\operatorname{GCF}(30, 50)",10
I,"\operatorname{GCF}(33, 44)",11
I,"\operatorname{GCF}(36, 60)",12
I,"\operatorname{GCF}(42, 70)",14
I,"\operatorname{GCF}(45, 75)",15
I,"\operatorname{GCF}(32, 48)",16
N,"\operatorname{GCF}(10, 14)",2
N,"\operatorname{GCF}(6, 27)",3
N,"\operatorname{GCF}(12, 28)",4
N,"\operatorname{GCF}(20, 35)",5
N,"\operatorname{GCF}(24, 30)",6
N,"\operatorname{GCF}(14, 49)",7
N,"\operatorname{GCF}(16, 40)",8
N,"\operatorname{GCF}(18, 45)",9
N,"\operatorname{GCF}(20, 50)",10
N,"\operatorname{GCF}(24, 60)",12
N,"\operatorname{GCF}(42, 98)",14
N,"\operatorname{GCF}(60, 75)",15
N,"\operatorname{GCF}(48, 80)",16
N,"\operatorname{GCF}(36, 54)",18
N,"\operatorname{GCF}(40, 60)",20
G,"\operatorname{GCF}(10, 21)",1
G,"\operatorname{GCF}(20, 28)",4
G,"\operatorname{GCF}(12, 42)",6
G,"\operatorname{GCF}(35, 49)",7
G,"\operatorname{GCF}(24, 56)",8
G,"\operatorname{GCF}(36, 45)",9
G,"\operatorname{GCF}(40, 50)",10
G,"\operatorname{GCF}(48, 60)",12
G,"\operatorname{GCF}(28, 70)",14
G,"\operatorname{GCF}(45, 60)",15
G,"\operatorname{GCF}(64, 80)",16
G,"\operatorname{GCF}(54, 90)",18
G,"\operatorname{GCF}(60, 80)",20
G,"\operatorname{GCF}(42, 63)",21
G,"\operatorname{GCF}(48, 72)",24
O,"\operatorname{GCF}(25, 40)",5
O,"\operatorname{GCF}(36, 42)",6
O,"\operatorname{GCF}(32, 56)",8
O,"\operatorname{GCF}(27, 63)",9
O,"\operatorname{GCF}(50, 80)",10
O,"\operatorname{GCF}(44, 55)",11
O,"\operatorname{GCF}(60, 84)",12
O,"\operatorname{GCF}(56, 70)",14
O,"\operatorname{GCF}(75, 90)",15
O,"\operatorname{GCF}(72, 90)",18
O,"\operatorname{GCF}(40, 100)",20
O,"\operatorname{GCF}(44, 66)",22
O,"\operatorname{GCF}(50, 75)",25
O,"\operatorname{GCF}(60, 90)",30
O,"\operatorname{GCF}(36, 72)",36
