column,problem,answer
B,-25 + (-12),-37
B,-25 + (-11),-36
B,-20 + (-15),-35
B,-25 + (-9),-34
B,-20 + (-13),-33
B,-25 + (-7),-32
B,-20 + (-11),-31
B,-20 + (-10),-30
B,-25 + (-4),-29
B,-20 + (-8),-28
B,-25 + (-2),-27
B,-20 + (-6),-26
B,-20 + (-5),-25
B,-15 + (-9),-24
B,-15 + (-8),-23
I,-15 + (-7),-22
I,-12 + (-9),-21
I,-10 + (-10),-20
I,-10 + (-9),-19
I,-9 + (-9),-18
I,-10 + (-7),-17
I,-8 + (-8),-16
I,-7 + (-8),-15
I,-6 + (-8),-14
I,-7 + (-6),-13
I,-5 + (-7),-12
I,-6 + (-5),-11
I,-5 + (-5),-10
I,-4 + (-5),-9
I,-3 + (-5),-8
N,-4 + (-3),-7
N,-3 + (-3),-6
N,-3 + (-2),-5
N,-2 + (-2),-4
N,-1 + (-2),-3
N,-3 + 1,-2
N,-2 + 1,-1
N,-3 + 3,0
N,-2 + 3,1
N,-1 + 3,2
N,-2 + 5,3
N,-3 + 7,4
N,-2 + 7,5
N,-3 + 9,6
N,-2 + 9,7
G,-2 + 10,8
G,-1 + 10,9
G,-2 + 12,10
G,-4 + 15,11
G,-3 + 15,12
G,-2 + 15,13
G,-1 + 15,14
G,-5 + 20,15
G,-4 + 20,16
G,-3 + 20,17
G,-2 + 20,18
G,-1 + 20,19
G,-5 + 25,20
G,-4 + 25,21
G,-3 + 25,22
O,-2 + 25,23
O,-1 + 25,24
O,-5 + 30,25
O,-4 + 30,26
O,-3 + 30,27
O,-2 + 30,28
O,-1 + 30,29
O,-5 + 35,30
O,-4 + 35,31
O,-3 + 35,32
O,-2 + 35,33
O,-1 + 35,34
O,-5 + 40,35
O,-4 + 40,36
O,-3 + 40,37
