column,problem,answer
B,"\operatorname{LCM}(2, 4)",4
B,"\operatorname{LCM}(2, 3)",6
B,"\operatorname{LCM}(2, 8)",8
B,"\operatorname{LCM}(3, 9)",9
B,"\operatorname{LCM}(2, 5)",10
B,"\operatorname{LCM}(3, 4)",12
B,"\operatorname{LCM}(2, 7)",14
B,"\operatorname{LCM}(3, 5)",15
B,"\operatorname{LCM}(4, 5)",20
B,"\operatorname{LCM}(3, 7)",21
B,"\operatorname{LCM}(2, 11)",22
B,"\operatorname{LCM}(3, 8)",24
B,"\operatorname{LCM}(2, 13)",26
B,"\operatorname{LCM}(4, 7)",28
B,"\operatorname{LCM}(5, 6)",30
I,"\operatorname{LCM}(2, 6)",6
I,"\operatorname{LCM}(4, 8)",8
I,"\operatorname{LCM}(4, 6)",12
I,"\operatorname{LCM}(6, 8)",24
I,"\operatorname{LCM}(3, 10)",30
I,"\operatorname{LCM}(3, 11)",33
I,"\operatorname{LCM}(5, 7)",35
I,"\operatorname{LCM}(4, 9)",36
I,"\operatorname{LCM}(3, 13)",39
I,"\operatorname{LCM}(6, 7)",42
I,"\operatorname{LCM}(4, 11)",44
I,"\operatorname{LCM}(4, 13)",52
I,"\operatorname{LCM}(7, 8)",56
I,"\operatorname{LCM}(5, 12)",60
I,"\operatorname{LCM}(7, 10)",70
N,"\operatorname{LCM}(3, 6)",6
N,"\operatorname{LCM}(2, 10)",10
N,"\operatorname{LCM}(2, 12)",12
N,"\operatorname{LCM}(2, 9)",18
N,"\operatorname{LCM}(6, 10)",30
N,"\operatorname{LCM}(5, 8)",40
N,"\operatorname{LCM}(3, 14)",42
N,"\operatorname{LCM}(5, 9)",45
N,"\operatorname{LCM}(5, 11)",55
N,"\operatorname{LCM}(10, 12)",60
N,"\operatorname{LCM}(7, 9)",63
N,"\operatorname{LCM}(5, 13)",65
N,"\operatorname{LCM}(6, 11)",66
N,"\operatorname{LCM}(5, 14)",70
N,"\operatorname{LCM}(8, 9)",72
G,"\operatorname{LCM}(5, 10)",10
G,"\operatorname{LCM}(3, 12)",12
G,"\operatorname{LCM}(2, 14)",14
G,"\operatorname{LCM}(3, 15)",15
G,"\operatorname{LCM}(4, 14)",28
G,"\operatorname{LCM}(6, 15)",30
G,"\operatorname{LCM}(8, 10)",40
G,"\operatorname{LCM}(6, 14)",42
G,"\operatorname{LCM}(8, 14)",56
G,"\operatorname{LCM}(4, 15)",60
G,"\operatorname{LCM}(7, 11)",77
G,"\operatorname{LCM}(6, 13)",78
G,"\operatorname{LCM}(7, 12)",84
G,"\operatorname{LCM}(8, 11)",88
G,"\operatorname{LCM}(9, 10)",90
O,"\operatorname{LCM}(4, 12)",12
O,"\operatorname{LCM}(7, 14)",14
O,"\operatorname{LCM}(5, 15)",15
O,"\operatorname{LCM}(6, 9)",18
O,"\operatorname{LCM}(4, 10)",20
O,"\operatorname{LCM}(8, 12)",24
O,"\operatorname{LCM}(10, 15)",30
O,"\operatorname{LCM}(9, 12)",36
O,"\operatorname{LCM}(9, 15)",45
O,"\operatorname{LCM}(12, 15)",60
O,"\operatorname{LCM}(10, 14)",70
O,"\operatorname{LCM}(12, 14)",84
O,"\operatorname{LCM}(9, 11)",99
O,"\operatorname{LCM}(10, 11)",110
O,"\operatorname{LCM}(8, 15)",120
