column,problem,answer
B,2x = 2,x = 1
B,7x = 14,x = 2
B,x + 18 = 21,x = 3
B,x + 26 = 30,x = 4
B,x + 15 = 20,x = 5
B,5x = 30,x = 6
B,x + 26 = 33,x = 7
B,x + 30 = 38,x = 8
B,x + 9 = 18,x = 9
B,x + 2 = 12,x = 10
B,x + 26 = 38,x = 12
B,x - 3 = 10,x = 13
B,x - 3 = 11,x = 14
B,3x = 45,x = 15
B,x - 2 = 14,x = 16
I,x - 8 = 9,x = 17
I,x ÷ 6 = 3,x = 18
I,x + 18 = 37,x = 19
I,x + 9 = 29,x = 20
I,7x = 147,x = 21
I,x + 4 = 26,x = 22
I,x + 12 = 35,x = 23
I,x - 16 = 8,x = 24
I,x + 15 = 40,x = 25
I,x + 12 = 38,x = 26
I,8x = 216,x = 27
I,x + 26 = 54,x = 28
I,x + 9 = 38,x = 29
I,x + 6 = 37,x = 31
I,x - 15 = 17,x = 32
N,x + 6 = 39,x = 33
N,x - 16 = 18,x = 34
N,x - 4 = 31,x = 35
N,x + 17 = 53,x = 36
N,x + 4 = 41,x = 37
N,x - 9 = 29,x = 38
N,x - 12 = 27,x = 39
N,x - 9 = 31,x = 40
N,x - 16 = 25,x = 41
N,x - 15 = 27,x = 42
N,x + 29 = 72,x = 43
N,x - 25 = 19,x = 44
N,x - 21 = 24,x = 45
N,x + 22 = 68,x = 46
N,x - 8 = 39,x = 47
G,x + 14 = 62,x = 48
G,x - 14 = 35,x = 49
G,x - 2 = 49,x = 51
G,x + 10 = 62,x = 52
G,x - 9 = 44,x = 53
G,x - 27 = 27,x = 54
G,x + 8 = 63,x = 55
G,x - 4 = 52,x = 56
G,x + 21 = 78,x = 57
G,x - 21 = 37,x = 58
G,x - 22 = 37,x = 59
G,x + 29 = 89,x = 60
G,x + 4 = 65,x = 61
G,x - 2 = 60,x = 62
G,x + 29 = 92,x = 63
O,x + 28 = 92,x = 64
O,x - 2 = 63,x = 65
O,x + 7 = 73,x = 66
O,x + 18 = 85,x = 67
O,x - 18 = 50,x = 68
O,x + 21 = 91,x = 70
O,x - 28 = 43,x = 71
O,x + 23 = 95,x = 72
O,x + 12 = 85,x = 73
O,x - 13 = 61,x = 74
O,x - 15 = 60,x = 75
O,x + 11 = 87,x = 76
O,x - 18 = 59,x = 77
O,x - 4 = 74,x = 78
O,x + 28 = 107,x = 79
