column,problem,answer
B,5% of 20,1
B,5% of 80,4
B,70% of 10,7
B,5% of 200,10
B,20% of 65,13
B,20% of 80,16
B,80% of 25,20
B,10% of 230,23
B,20% of 130,26
B,10% of 290,29
B,10% of 320,32
B,50% of 70,35
B,40% of 95,38
B,20% of 205,41
B,20% of 220,44
I,20% of 235,47
I,30% of 170,51
I,90% of 60,54
I,20% of 285,57
I,40% of 150,60
I,70% of 90,63
I,30% of 220,66
I,60% of 115,69
I,60% of 120,72
I,75% of 100,75
I,20% of 390,78
I,30% of 270,81
I,40% of 215,86
I,75% of 120,90
I,30% of 310,93
N,80% of 120,96
N,80% of 125,100
N,50% of 210,105
N,40% of 275,110
N,30% of 380,114
N,90% of 130,117
N,80% of 150,120
N,40% of 310,124
N,60% of 215,129
N,70% of 190,133
N,40% of 340,136
N,60% of 235,141
N,50% of 290,145
N,40% of 370,148
N,60% of 255,153
G,40% of 390,156
G,40% of 400,160
G,80% of 205,164
G,90% of 190,171
G,70% of 250,175
G,80% of 225,180
G,80% of 230,184
G,80% of 235,188
G,80% of 240,192
G,90% of 220,198
G,70% of 290,203
G,80% of 260,208
G,60% of 355,213
G,60% of 365,219
G,60% of 375,225
O,80% of 290,232
O,60% of 395,237
O,90% of 270,243
O,80% of 310,248
O,80% of 320,256
O,90% of 290,261
O,80% of 335,268
O,70% of 390,273
O,80% of 350,280
O,80% of 365,292
O,75% of 400,300
O,80% of 385,308
O,80% of 395,316
O,90% of 370,333
O,90% of 400,360
