column,problem,answer
B,(-12) × 12,-144
B,11 × (-11),-121
B,12 × (-10),-120
B,(-12) × 9,-108
B,10 × (-10),-100
B,12 × (-8),-96
B,10 × (-9),-90
B,7 × (-12),-84
B,9 × (-9),-81
B,(-7) × 11,-77
B,10 × (-7),-70
B,(-11) × 6,-66
B,7 × (-9),-63
B,(-10) × 6,-60
B,5 × (-11),-55
I,(-9) × 6,-54
I,7 × (-7),-49
I,12 × (-4),-48
I,(-4) × 11,-44
I,(-5) × 8,-40
I,(-12) × 3,-36
I,(-11) × 3,-33
I,8 × (-4),-32
I,7 × (-4),-28
I,(-3) × 9,-27
I,8 × (-3),-24
I,2 × (-11),-22
I,5 × (-4),-20
I,(-8) × 2,-16
I,(-3) × 5,-15
N,(-72) ÷ 6,-12
N,(-88) ÷ 8,-11
N,45 ÷ (-5),-9
N,72 ÷ (-9),-8
N,42 ÷ (-7),-6
N,(-20) ÷ 4,-5
N,(-18) ÷ 6,-3
N,(-4) ÷ (-2),2
N,(-6) ÷ (-2),3
N,(-40) ÷ (-8),5
N,(-2) × (-3),6
N,(-72) ÷ (-9),8
N,(-45) ÷ (-5),9
N,(-44) ÷ (-4),11
N,(-120) ÷ (-10),12
G,(-5) × (-3),15
G,(-2) × (-8),16
G,(-2) × (-10),20
G,(-11) × (-2),22
G,(-8) × (-3),24
G,(-9) × (-3),27
G,(-4) × (-7),28
G,(-4) × (-8),32
G,(-11) × (-3),33
G,(-4) × (-9),36
G,(-8) × (-5),40
G,(-11) × (-4),44
G,(-6) × (-8),48
G,(-7) × (-7),49
G,(-6) × (-9),54
O,(-5) × (-11),55
O,(-6) × (-10),60
O,(-7) × (-9),63
O,(-11) × (-6),66
O,(-10) × (-7),70
O,(-7) × (-11),77
O,(-9) × (-9),81
O,(-7) × (-12),84
O,(-9) × (-10),90
O,(-12) × (-8),96
O,(-10) × (-10),100
O,(-9) × (-12),108
O,(-12) × (-10),120
O,(-11) × (-11),121
O,(-12) × (-12),144
