column,problem,answer
B,1/11 = x/22,2
B,1/11 = x/33,3
B,4/2 = 8/x,4
B,1/7 = x/35,5
B,1/12 = x/72,6
B,1/8 = x/56,7
B,4/12 = x/24,8
B,3/4 = x/12,9
B,3/2 = 15/x,10
B,8/4 = 24/x,12
B,2/11 = x/77,14
B,5/6 = x/18,15
B,2/5 = x/40,16
B,12/9 = 24/x,18
B,1/4 = 5/x,20
I,10/6 = 30/x,18
I,14/10 = 28/x,20
I,11/7 = 33/x,21
I,11/11 = x/22,22
I,3/3 = x/24,24
I,5/7 = x/35,25
I,13/8 = x/16,26
I,9/9 = x/27,27
I,4/7 = 16/x,28
I,5/5 = 30/x,30
I,4/6 = x/48,32
I,11/7 = x/21,33
I,17/12 = x/24,34
I,5/4 = x/28,35
I,10/6 = 60/x,36
N,7/10 = x/50,35
N,3/9 = 12/x,36
N,13/9 = x/27,39
N,5/12 = x/96,40
N,10/7 = 60/x,42
N,3/11 = 12/x,44
N,9/7 = x/35,45
N,11/8 = 66/x,48
N,8/7 = 56/x,49
N,10/12 = x/60,50
N,17/12 = x/36,51
N,13/10 = x/40,52
N,9/8 = x/48,54
N,2/11 = 10/x,55
N,11/8 = 77/x,56
G,14/12 = x/48,56
G,9/12 = 45/x,60
G,9/9 = x/63,63
G,10/8 = 80/x,64
G,13/8 = x/40,65
G,13/11 = 78/x,66
G,17/12 = x/48,68
G,1/10 = 7/x,70
G,7/12 = 42/x,72
G,15/12 = x/60,75
G,11/11 = x/77,77
G,13/10 = x/60,78
G,9/10 = 72/x,80
G,3/12 = 21/x,84
G,17/12 = x/60,85
O,14/11 = x/66,84
O,17/12 = x/60,85
O,11/6 = x/48,88
O,15/10 = x/60,90
O,13/11 = x/77,91
O,1/12 = 8/x,96
O,14/12 = x/84,98
O,17/12 = x/72,102
O,13/11 = x/88,104
O,15/11 = x/77,105
O,14/12 = x/96,112
O,17/12 = x/84,119
O,15/12 = x/96,120
O,16/12 = x/96,128
O,17/12 = x/96,136
