column,problem,answer
B,7x + 7 = 14,x = 1
B,2x + 3 = 7,x = 2
B,4x + 9 = 21,x = 3
B,4x - 13 = 3,x = 4
B,6x + 9 = 39,x = 5
B,6x - 5 = 31,x = 6
B,8x - 13 = 43,x = 7
B,7x - 5 = 51,x = 8
B,7x + 3 = 66,x = 9
B,8x + 7 = 87,x = 10
B,6x + 3 = 75,x = 12
B,9x - 9 = 108,x = 13
B,4x + 11 = 67,x = 14
B,8x - 9 = 111,x = 15
B,9x - 9 = 135,x = 16
I,9x + 7 = 160,x = 17
I,9x - 3 = 159,x = 18
I,7x + 3 = 136,x = 19
I,8x + 13 = 173,x = 20
I,6x + 9 = 135,x = 21
I,2x + 13 = 57,x = 22
I,9x - 5 = 202,x = 23
I,3x - 7 = 65,x = 24
I,7x + 9 = 184,x = 25
I,3x - 13 = 65,x = 26
I,2x + 5 = 59,x = 27
I,3x + 3 = 87,x = 28
I,2x + 3 = 61,x = 29
I,3x - 5 = 88,x = 31
I,2x - 3 = 61,x = 32
N,x ÷ 3 + 5 = 16,x = 33
N,3x - 3 = 99,x = 34
N,4x + 3 = 143,x = 35
N,2x - 5 = 67,x = 36
N,3x - 13 = 98,x = 37
N,3x - 7 = 107,x = 38
N,3x + 13 = 130,x = 39
N,4x - 3 = 157,x = 40
N,2x + 9 = 91,x = 41
N,x ÷ 3 + 1 = 15,x = 42
N,4x - 7 = 165,x = 43
N,x ÷ 4 + 1 = 12,x = 44
N,3x - 9 = 126,x = 45
N,4x - 5 = 179,x = 46
N,2x - 5 = 89,x = 47
G,2x - 11 = 85,x = 48
G,4x + 3 = 199,x = 49
G,2x - 11 = 91,x = 51
G,4x + 13 = 221,x = 52
G,3x - 11 = 148,x = 53
G,4x - 5 = 211,x = 54
G,2x - 11 = 99,x = 55
G,3x + 3 = 171,x = 56
G,2x + 13 = 127,x = 57
G,3x - 11 = 163,x = 58
G,4x + 5 = 241,x = 59
G,3x - 9 = 171,x = 60
G,4x - 13 = 231,x = 61
G,4x + 9 = 257,x = 62
G,2x + 5 = 131,x = 63
O,4x - 9 = 247,x = 64
O,2x - 5 = 125,x = 65
O,x ÷ 6 + 5 = 16,x = 66
O,4x + 5 = 273,x = 67
O,2x + 9 = 145,x = 68
O,4x + 7 = 287,x = 70
O,3x + 9 = 222,x = 71
O,3x - 9 = 207,x = 72
O,3x + 3 = 222,x = 73
O,4x - 7 = 289,x = 74
O,4x + 7 = 307,x = 75
O,4x - 5 = 299,x = 76
O,3x + 3 = 234,x = 77
O,3x - 13 = 221,x = 78
O,4x - 13 = 303,x = 79
