column,problem,answer
B,\sqrt[3]{8},2
B,\sqrt[3]{27},3
B,\sqrt[3]{64},4
B,\sqrt[3]{125},5
B,\sqrt[3]{216},6
B,\sqrt[3]{343},7
B,\sqrt[3]{512},8
B,\sqrt[3]{729},9
B,\sqrt[3]{1000},10
B,\sqrt[3]{1331},11
B,\sqrt[3]{1728},12
B,\sqrt[3]{2197},13
B,\sqrt[3]{2744},14
B,\sqrt[3]{3375},15
B,\sqrt[3]{4096},16
I,\sqrt[3]{64},4
I,\sqrt[3]{125},5
I,\sqrt[3]{216},6
I,\sqrt[3]{343},7
I,\sqrt[3]{512},8
I,\sqrt[3]{729},9
I,\sqrt[3]{1000},10
I,\sqrt[3]{1331},11
I,\sqrt[3]{1728},12
I,\sqrt[3]{2197},13
I,\sqrt[3]{2744},14
I,\sqrt[3]{3375},15
I,\sqrt[3]{4096},16
I,\sqrt[3]{4913},17
I,\sqrt[3]{5832},18
N,\sqrt[3]{343},7
N,\sqrt[3]{512},8
N,\sqrt[3]{729},9
N,\sqrt[3]{1000},10
N,\sqrt[3]{1331},11
N,\sqrt[3]{1728},12
N,\sqrt[3]{2197},13
N,\sqrt[3]{2744},14
N,\sqrt[3]{3375},15
N,\sqrt[3]{4096},16
N,\sqrt[3]{4913},17
N,\sqrt[3]{5832},18
N,\sqrt[3]{6859},19
N,\sqrt[3]{8000},20
N,\sqrt[3]{9261},21
G,\sqrt[3]{1000},10
G,\sqrt[3]{1331},11
G,\sqrt[3]{1728},12
G,\sqrt[3]{2197},13
G,\sqrt[3]{2744},14
G,\sqrt[3]{3375},15
G,\sqrt[3]{4096},16
G,\sqrt[3]{4913},17
G,\sqrt[3]{5832},18
G,\sqrt[3]{6859},19
G,\sqrt[3]{8000},20
G,\sqrt[3]{9261},21
G,\sqrt[3]{10648},22
G,\sqrt[3]{12167},23
G,\sqrt[3]{13824},24
O,\sqrt[3]{1728},12
O,\sqrt[3]{2197},13
O,\sqrt[3]{2744},14
O,\sqrt[3]{3375},15
O,\sqrt[3]{4096},16
O,\sqrt[3]{4913},17
O,\sqrt[3]{5832},18
O,\sqrt[3]{6859},19
O,\sqrt[3]{8000},20
O,\sqrt[3]{9261},21
O,\sqrt[3]{10648},22
O,\sqrt[3]{12167},23
O,\sqrt[3]{13824},24
O,\sqrt[3]{15625},25
O,\sqrt[3]{17576},26
