column,problem,answer
B,f(x) = 4x - 19; f(5),1
B,f(x) = 4x - 5; f(2),3
B,f(x) = 2x - 10; f(7),4
B,f(x) = 2x + 4; f(1),6
B,f(x) = 2x - 16; f(12),8
B,f(x) = 9x - 17; f(3),10
B,f(x) = 2x + 5; f(3),11
B,f(x) = 2x + 1; f(6),13
B,f(x) = 2x - 3; f(9),15
B,f(x) = 3x - 17; f(11),16
B,f(x) = 3x - 3; f(7),18
B,f(x) = 5x + 10; f(2),20
B,f(x) = 2x + 9; f(6),21
B,f(x) = 5x + 13; f(2),23
B,f(x) = 4x + 17; f(2),25
I,f(x) = 4x + 11; f(4),27
I,f(x) = 9x - 17; f(5),28
I,f(x) = 6x + 18; f(2),30
I,f(x) = 7x + 4; f(4),32
I,f(x) = 6x + 3; f(5),33
I,f(x) = 8x - 13; f(6),35
I,f(x) = 3x + 16; f(7),37
I,f(x) = 7x + 17; f(3),38
I,f(x) = 4x + 16; f(6),40
I,f(x) = 6x - 6; f(8),42
I,f(x) = 7x + 16; f(4),44
I,f(x) = 5x + 10; f(7),45
I,f(x) = 8x + 15; f(4),47
I,f(x) = 5x + 4; f(9),49
I,f(x) = 4x + 14; f(9),50
N,f(x) = 4x + 8; f(11),52
N,f(x) = 8x - 2; f(7),54
N,f(x) = 8x - 9; f(8),55
N,f(x) = 5x + 12; f(9),57
N,f(x) = 6x - 13; f(12),59
N,f(x) = 6x + 1; f(10),61
N,f(x) = 6x + 2; f(10),62
N,f(x) = 8x - 16; f(10),64
N,f(x) = 8x - 14; f(10),66
N,f(x) = 5x + 17; f(10),67
N,f(x) = 9x + 6; f(7),69
N,f(x) = 7x + 15; f(8),71
N,f(x) = 6x + 13; f(10),73
N,f(x) = 9x - 7; f(9),74
N,f(x) = 9x - 5; f(9),76
G,f(x) = 8x - 10; f(11),78
G,f(x) = 8x - 17; f(12),79
G,f(x) = 7x + 18; f(9),81
G,f(x) = 9x + 2; f(9),83
G,f(x) = 9x - 15; f(11),84
G,f(x) = 8x - 10; f(12),86
G,f(x) = 7x + 4; f(12),88
G,f(x) = 8x + 18; f(9),90
G,f(x) = 9x + 19; f(8),91
G,f(x) = 8x - 3; f(12),93
G,f(x) = 9x - 13; f(12),95
G,f(x) = 7x + 19; f(11),96
G,f(x) = 9x + 17; f(9),98
G,f(x) = 8x + 4; f(12),100
G,f(x) = 9x - 7; f(12),101
O,f(x) = 9x + 4; f(11),103
O,f(x) = 9x + 15; f(10),105
O,f(x) = 9x - 1; f(12),107
O,f(x) = 9x + 18; f(10),108
O,f(x) = 8x + 14; f(12),110
O,f(x) = 8x + 16; f(12),112
O,f(x) = 8x + 17; f(12),113
O,f(x) = 9x + 16; f(11),115
O,f(x) = 9x + 9; f(12),117
O,f(x) = 9x + 10; f(12),118
O,f(x) = 9x + 12; f(12),120
O,f(x) = 9x + 14; f(12),122
O,f(x) = 9x + 16; f(12),124
O,f(x) = 9x + 17; f(12),125
O,f(x) = 9x + 19; f(12),127
