column,problem,answer
B,\sqrt{16},4
B,\sqrt{25},5
B,\sqrt{36},6
B,\sqrt{49},7
B,\sqrt{64},8
B,\sqrt{81},9
B,\sqrt{100},10
B,\sqrt{121},11
B,\sqrt{144},12
B,\sqrt{169},13
B,\sqrt{196},14
B,\sqrt{225},15
B,\sqrt{256},16
B,\sqrt{289},17
B,\sqrt{324},18
I,\sqrt{361},19
I,\sqrt{400},20
I,\sqrt{441},21
I,\sqrt{484},22
I,\sqrt{529},23
I,\sqrt{576},24
I,\sqrt{625},25
I,\sqrt{676},26
I,\sqrt{729},27
I,\sqrt{784},28
I,\sqrt{841},29
I,\sqrt{900},30
I,\sqrt{961},31
I,\sqrt{1024},32
I,\sqrt{1089},33
N,\sqrt{1156},34
N,\sqrt{1225},35
N,\sqrt{1296},36
N,\sqrt{1369},37
N,\sqrt{1444},38
N,\sqrt{1521},39
N,\sqrt{1600},40
N,\sqrt{1681},41
N,\sqrt{1764},42
N,\sqrt{1849},43
N,\sqrt{1936},44
N,\sqrt{2025},45
N,\sqrt{2116},46
N,\sqrt{2209},47
N,\sqrt{2304},48
G,\sqrt{2401},49
G,\sqrt{2500},50
G,\sqrt{2601},51
G,\sqrt{2704},52
G,\sqrt{2809},53
G,\sqrt{2916},54
G,\sqrt{3025},55
G,\sqrt{3136},56
G,\sqrt{3249},57
G,\sqrt{3364},58
G,\sqrt{3481},59
G,\sqrt{3600},60
G,\sqrt{3721},61
G,\sqrt{3844},62
G,\sqrt{3969},63
O,\sqrt{4096},64
O,\sqrt{4225},65
O,\sqrt{4356},66
O,\sqrt{4489},67
O,\sqrt{4624},68
O,\sqrt{4761},69
O,\sqrt{4900},70
O,\sqrt{5041},71
O,\sqrt{5184},72
O,\sqrt{5329},73
O,\sqrt{5476},74
O,\sqrt{5625},75
O,\sqrt{5776},76
O,\sqrt{5929},77
O,\sqrt{6084},78
